year,bevoegdgezag,bestuur_key,bevoegd_gezagnaam,postcode_bevoegd_gezag,eenpitter,aantal_leerlingen,categorie_bestuuromvang,aantal_gewichtleerlingen,gemiddeld_leerlinggewicht,aandeel_apcg_leerlingen,aandeel_lwoo_leerlingen,aantal_voltijdleerlingen,aantal_deeltijdleerlingen,aantal_leerlingen_vbo_groen,aantal_bol_leerlingen,aantal_bol_deeltijdleerlingen,aantal_bbl_leerlingen,aandeel_leerlingen_randstad,omvang_formatie_totaal,omvang_formatie_manager,omvang_formatie_op,omvang_formatie_lio,omvang_formatie_oop_obp,omvang_formatie_onbekend,leerling_leraar_ratio,gewogen_deelnemer_leraar_ratio,omvang_formatie_op_la,omvang_formatie_op_lb,omvang_formatie_op_lc,omvang_formatie_op_ld,omvang_formatie_op_le,omvang_formatie_op_overig,aandeel_formatie_op_la,aandeel_formatie_op_lb,aandeel_formatie_op_lc,aandeel_formatie_op_ld,aandeel_formatie_op_le,aandeel_formatie_op_overig,streefpercentage_formatie_op_la,streefpercentage_formatie_op_lb,streefpercentage_formatie_op_lc,streefpercentage_formatie_op_ld,streefpercentage_formatie_op_le,streefpercentage_formatie_op_ove,omvang_formatie_op_brutsal,loonsom_op_brutsal,gemiddelde_loonsom_op_brutsal,solvabiliteiti,solvabiliteitii,rentabiliteit,liquiditeitcurrentratio,liquiditeitquickratio,weerstandsvermogenexclusiefmater,weerstandsvermogen,personeelslastenrijksbijdragen,personeelslastentotaalbatenplusf,personeelslastentotaallastenplus,voorzieningentotaalbatenplusfina,rijksbijdragentotaalbatenplusfin,overigeoverheidsbijdragenensubsi,huisvestingsratio,kapitalisatiefactor,algemenereservetotaalbatenplusfi,investeringeninventarisenapparat,nettowerkkapitaal,aantalinstellingen,variatieinlb
2016,41860,41860-2016,Stg. PlatOO best. voor openb. en alg. toegankelijk onderwijs,5709,0,3024,3,3124.8,1,0,0,0,0,0,0,0,0,,193.5,16.5,158.3,0,18.700001,0,19.1,,127.5,30.1,.80000001,0,0,0,80.5,19,.5,0,0,0,,,,,,,158.35001,518973.41,3277.46,.62,.8,-.01,1.87,1.87,.12,.27,.82999998,.80000001,.79000002,.079999998,.95999998,.01,.09,.43,.27,.02,.08,15,1.473092
2017,41860,41860-2017,Stg. PlatOO best. voor openb. en alg. toegankelijk onderwijs,5709,0,2999,3,3109.3999,1,0,0,0,0,0,0,0,0,,189,15,155.60001,0,18.4,0,19.299999,,121.9,33.700001,0,0,0,0,78.300003,21.700001,0,0,0,0,,,,,,,155.64,509823.72,3275.6001,,,,,,,,,,,,,,,,,,,15,1.3850219
2012,41861,41861-2012,Vereniging voor Gereformeerd Schoolonderwijs Laag Zuthem,8055,1,61,1,61.599998,1,0,0,0,0,0,0,0,0,,4.6999998,.5,3.9000001,0,.30000001,0,15.6,,3.9000001,0,0,0,0,0,100,0,0,0,0,0,,,,,,,3.9100001,11290.77,2890.9199,.83,.84,.03,3.1,3.1,.18,.43,.83999997,.81,.83999997,.0099999998,.97000003,0,.05,.42,.17,0,.18,1,0
2013,41861,41861-2013,Vereniging voor Gereformeerd Schoolonderwijs Laag Zuthem,8055,1,53,1,53.599998,1,0,0,0,0,0,0,0,0,,4.6999998,.5,3.9000001,0,.30000001,0,13.6,,2.5999999,1.2,0,0,0,0,68,32,0,0,0,0,,,,,,,3.9000001,11615.55,2982.1699,.8,.84,.06,3.33,3.33,.2,.47,.80000001,.77999997,.82999998,.02,.97000003,0,.05,.49,.22,.06,.22,1,0
2014,41861,41861-2014,Vereniging voor Gereformeerd Schoolonderwijs Laag Zuthem,8055,1,48,1,48,1,0,0,0,0,0,0,0,0,,4.6999998,.5,3.9000001,0,.30000001,0,12.3,,2.5999999,1.2,0,0,0,0,68,32,0,0,0,0,58,40,2,0,0,0,3.9000001,11975.45,3074.5701,.8100000000000001,.82,.02,3.17,3.17,.24,.51,.85000002,.82999998,.83999997,.0099999998,.98000002,0,.04,.52,.25,.01,.24,1,0
2015,41861,41861-2015,Vereniging voor Gereformeerd Schoolonderwijs Laag Zuthem,8055,1,46,1,46,1,0,0,0,0,0,0,0,0,,3.7,.5,3,0,.2,0,15.1,,1.9,1.1,0,0,0,0,63.099998,36.900002,0,0,0,0,,,,,,,3.04,9908.8203,3256.3701,.84,.85,.03,4.18,4.18,.3,.53,.82999998,.81999999,.83999997,0,.98000002,0,.04,.53,.28,0,.3,1,0
2016,41861,41861-2016,Vereniging voor Gereformeerd Schoolonderwijs Laag Zuthem,8055,1,43,1,43,1,0,0,0,0,0,0,0,0,,3.5,.5,2.8,0,.2,0,15.3,,1.5,1.3,0,0,0,0,54.299999,45.700001,0,0,0,0,,,,,,,2.8099999,9269.6699,3295.8799,.87,.88,.04,5.11,5.11,.33,.5600000000000001,.82999998,.80000001,.83999997,0,.97000003,.01,.04,.54,.31,.02,.32,1,0
2017,41861,41861-2017,Vereniging voor Gereformeerd Schoolonderwijs Laag Zuthem,8055,1,45,1,45,1,0,0,0,0,0,0,0,0,,3,.5,2.3,0,.2,0,19.4,,1.1,1.2,0,0,0,0,47.799999,52.200001,0,0,0,0,,,,,,,2.3199999,7876.46,3390.5,,,,,,,,,,,,,,,,,,,1,0
2012,41862,41862-2012,Stichting Openbaar Primair Onderwijs Deventer,7425,0,4170,3,4536.6001,1.1,0,0,0,0,0,0,0,0,,276.5,18.9,226.89999,2.4000001,28.299999,0,18.4,,206.2,20.799999,0,0,0,0,90.800003,9.1999998,0,0,0,0,,,,,,,217.47,656566.19,3019.05,.6,.73,-.01,2.25,2.25,.12,.34,.89999998,.83999997,.82999998,.07,.94,.03,.07,.47,.27,.01,.18,15,1.2106669
2013,41862,41862-2013,Stichting Openbaar Primair Onderwijs Deventer,7425,0,4071,3,4399.7998,1.1,0,0,0,0,0,0,0,0,,295.10001,19.799999,225.8,13.2,36.299999,0,18,,199.2,26.6,0,0,0,0,88.199997,11.8,0,0,0,0,,,,,,,225.82001,689949.19,3055.3401,.64,.78,.02,2.68,2.68,.14,.34,.88999999,.81999999,.82999998,.07,.92000002,.03,.08,.45,.29,.01,.2,15,1.2868567
2014,41862,41862-2014,Stichting Openbaar Primair Onderwijs Deventer,7425,0,4000,3,4312.8999,1.1,0,0,0,0,0,0,0,0,,286.20001,19.700001,220.7,10,35.799999,0,18.1,,190.7,30,0,0,0,0,86.400002,13.6,0,0,0,0,58,40,2,0,0,0,220.47,688592.25,3123.3101,.63,.79,-.05,2.19,2.19,.05,.31,.93000001,.86000001,.81999999,.079999998,.93000001,.02,.08,.37,.27,.03,.12,15,1.1826121
