Bevoegd Gezag,Sector,Groepering,Naam,Jaar,Key,Lonen en salarissen,Sociale lasten,Pensioenlasten,Lasten personeel niet in loondienst,Personeelslasten,Lonen en salarissen/totaal personeel,Sociale lasten/totaal personeel,Pensioenlasten/totaal personeel,Lasten personeel niet in loondienst/totaal personeel,Afschrijvingen op materiÔle vaste activa,Afschrijvingen,Huurlasten,Onderhoudslasten (klein onderhoud),Lasten voor energie en water,Schoonmaakkosten,Belastingen en heffingen,Overige (overige huisvestingslasten),Huisvestingslasten,Administratie- en beheerslasten,Inventaris en apparatuur,Overige (overige overige lasten),Overige lasten,Accountantshonoraria inzake het onderzoek van de jaarrekening,Accountantshonoraria
13682,PO,BO3,Openbaar Prim. Onderw. Oegstg.,2016,13682-2016,3861251,730600,429726,305461,5246078,0.74,0.14,0.08,0.06,173438,173438,,24912,73993,138322,8751,29441,485569,146327,178067,13532,485435,13280,13280
13683,PO,BO6,Schoolbest L&E Nrd Groningen,2012,13683-2012,12670386,1970957,1790115,1055378,17529212,0.72,0.11,0.10,0.06,469879,469879,72748,498595,391180,426576,40660,3437140,4866899,904114,1315581,722922,2942617,,
13683,PO,BO6,Schoolbest L&E Nrd Groningen,2013,13683-2013,12359822,1983189,1901624,1456772,17904498,0.69,0.11,0.11,0.08,553175,553175,55752,514244,361994,435322,39477,150312,1557101,962618,1140719,794270,2897607,,
13683,PO,BO6,Schoolbest L&E Nrd Groningen,2014,13683-2014,12478929,2138990,1831894,1971740,18318853,0.68,0.12,0.10,0.11,570883,570883,74366,334116,465016,389997,42664,25434,1674617,960989,1130568,813776,2905333,54966,54966
13683,PO,BO6,Schoolbest L&E Nrd Groningen,2015,13683-2015,12693986,2066538,1605791,2207765,18593268,0.68,0.11,0.09,0.12,592622,592622,70755,269262,408459,395277,39493,32369,1496401,798018,1070418,770458,2638894,28509,28509
13683,PO,BO6,Schoolbest L&E Nrd Groningen,2016,13683-2016,13003823,2106153,1549072,1804498,18683199,0.70,0.11,0.08,0.10,566847,566847,80376,243915,313722,359072,36902,22589,1437740,765926,1099898,837846,2703670,34729,34729
13839,PO,BO1,BC Master Frankeskoalle,2012,13839-2012,237090,20843,30061,,358158,0.66,0.06,0.08,0.00,13797,13797,,26294,5948,12016,741,3402,48401,25893,28576,3347,57816,,
13839,PO,BO1,BC Master Frankeskoalle,2013,13839-2013,212718,48354,32140,,363583,0.59,0.13,0.09,0.00,13834,13834,,13425,5913,14796,561,1721,36416,25591,25826,1972,53389,,
13839,PO,BO1,BC Master Frankeskoalle,2014,13839-2014,221080,56998,32740,,359244,0.62,0.16,0.09,0.00,13116,13116,,8659,5792,14796,769,1752,31768,20141,24906,7392,52439,,
13839,PO,BO1,BC Master Frankeskoalle,2015,13839-2015,245243,54345,30320,,321517,0.76,0.17,0.09,0.00,12481,12481,,4354,5872,18164,815,1776,53271,29416,20974,3272,62426,,
13839,PO,BO1,BC Master Frankeskoalle,2016,13839-2016,219598,48436,24210,,272768,0.81,0.18,0.09,0.00,12302,12302,,4344,5053,17957,2609,1808,31771,21212,639,2533,55731,,
13878,PO,BO2,BC Openb BO Ameland,2012,13878-2012,538807,61343,104349,,735379,0.73,0.08,0.14,0.00,26335,26335,,219,12968,10490,2762,5702,32141,33429,48610,162738,256777,2300,2300
13878,PO,BO2,BC Openb BO Ameland,2013,13878-2013,510431,79763,118307,,679877,0.75,0.12,0.17,0.00,26377,26377,,223,17960,11061,2392,5639,37275,32829,40122,,84951,2300,2300
13878,PO,BO2,BC Openb BO Ameland,2014,13878-2014,476704,103335,97199,,666124,0.72,0.16,0.15,0.00,22007,22007,,227,19909,10066,547,7577,38326,31943,40547,,84490,2783,2783
13878,PO,BO2,BC Openb BO Ameland,2015,13878-2015,408571,137656,132682,,673849,0.61,0.20,0.20,0.00,40236,40236,,226,13744,2691,2016,8889,27566,29311,49082,,97858,2783,2783
13878,PO,BO2,BC Openb BO Ameland,2016,13878-2016,512040,34350,44428,,630973,0.81,0.05,0.07,0.00,34726,34726,,226,14634,2683,1141,5495,24179,30381,70937,,120783,2783,2783
20012,PO,BO2,Vereniging voor P.C.B.O.,2012,20012-2012,752162,159186,95677,,986206,0.76,0.16,0.10,0.00,33344,33344,,6266,14769,3034,3464,1256,54789,31926,47023,47488,126437,4218,4218
20012,PO,BO2,Vereniging voor P.C.B.O.,2013,20012-2013,830454,169997,118807,,1070842,0.78,0.16,0.11,0.00,34898,34898,,12231,16791,2228,3183,1723,60156,51050,63836,44723,159609,3267,3267
20012,PO,BO2,Vereniging voor P.C.B.O.,2014,20012-2014,826814,190907,112784,,1115711,0.74,0.17,0.10,0.00,39548,39548,,4437,18196,14208,3873,2276,61990,40153,52271,45632,138056,3267,3267
20012,PO,BO2,Vereniging voor P.C.B.O.,2015,20012-2015,809074,103991,96928,,1144222,0.71,0.09,0.08,0.00,35871,35871,41,6086,17169,14534,4687,1230,82232,40580,62591,67200,170371,3570,3570
20012,PO,BO2,Vereniging voor P.C.B.O.,2016,20012-2016,778787,105514,90706,,1066148,0.73,0.10,0.09,0.00,41005,41005,25,11733,17947,16425,4454,12448,106032,63856,75404,47386,186646,4901,4901
20137,PO,SPEC,Stg. Spec. Onderw. de Bolster,2012,20137-2012,2286925,357952,278584,174465,3159632,0.72,0.11,0.09,0.06,29293,29293,113849,21145,49769,37740,9150,17632,205145,172182,163657,4848,340687,,
20137,PO,SPEC,Stg. Spec. Onderw. de Bolster,2013,20137-2013,2046453,491478,333948,149250,3179437,0.64,0.15,0.11,0.05,28503,28503,14599,24931,48575,44034,3437,138664,284774,167845,179665,1169,348679,,
20137,PO,SPEC,Stg. Spec. Onderw. de Bolster,2014,20137-2014,1886931,508921,309033,119139,3067973,0.62,0.17,0.10,0.04,38287,38287,,25681,12910,54514,4827,85859,195240,104464,176166,2117,282747,,
20137,PO,SPEC,Stg. Spec. Onderw. de Bolster,2015,20137-2015,2067544,482030,256219,155190,2689898,0.77,0.18,0.10,0.06,46704,46704,,32595,19237,44891,2875,39633,140318,84852,,146957,404176,,
20137,PO,SPEC,Stg. Spec. Onderw. de Bolster,2016,20137-2016,2087341,354644,248238,82374,2378721,0.88,0.15,0.10,0.03,48639,48639,15215,118224,34451,16160,493,39677,259071,154225,,123617,458215,,
20183,PO,BO2,Ver. Chr. Ond. Ref. Grondsl.,2012,20183-2012,758640,165602,97847,,1030110,0.74,0.16,0.09,0.00,42380,42380,,9719,18826,4257,1010,7338,41150,42177,59826,37450,139453,4558,4558
20183,PO,BO2,Ver. Chr. Ond. Ref. Grondsl.,2013,20183-2013,715239,138392,100352,,950305,0.75,0.15,0.11,0.00,43826,43826,,3907,22305,6059,1064,5717,49052,41425,79312,30997,151734,4755,4755
20183,PO,BO2,Ver. Chr. Ond. Ref. Grondsl.,2014,20183-2014,680677,132577,95143,736,944910,0.72,0.14,0.10,0.00,44744,44744,,10192,22765,4518,1014,7856,60345,43192,,114962,158154,4235,4235
20183,PO,BO2,Ver. Chr. Ond. Ref. Grondsl.,2015,20183-2015,721283,147729,84716,12793,983535,0.73,0.15,0.09,0.01,45662,45662,,7627,20983,6124,2436,26514,103684,45465,1914,22059,131887,4356,4356
20183,PO,BO2,Ver. Chr. Ond. Ref. Grondsl.,2016,20183-2016,716937,142508,80789,23628,994442,0.72,0.14,0.08,0.02,48489,48489,0,9775,24089,6807,2205,7009,111885,36446,254,32123,147676,3388,3388
20210,PO,BO1,Stichting Matthijsje,2012,20210-2012,241705,26393,29504,,304973,0.79,0.09,0.10,0.00,4475,4475,,25231,12058,1412,1286,226,40213,22497,16973,35641,75111,3500,3500
20210,PO,BO1,Stichting Matthijsje,2013,20210-2013,255822,35518,33910,,329281,0.78,0.11,0.10,0.00,,4901,,24127,16239,832,1056,292,42546,12962,19322,27131,59415,3258,3258
20210,PO,BO1,Stichting Matthijsje,2014,20210-2014,280126,32695,32606,,327375,0.86,0.10,0.10,0.00,4875,4875,,26602,13927,478,1031,24,42062,14805,15932,5227,35964,3079,3079
20210,PO,BO1,Stichting Matthijsje,2015,20210-2015,234187,28414,24718,1764,266067,0.88,0.11,0.09,0.01,7542,7542,,55002,12646,497,1036,287,69468,12191,,3443,41449,3761,3761
20210,PO,BO1,Stichting Matthijsje,2016,20210-2016,228528,29147,23004,1252,271062,0.84,0.11,0.08,0.00,12745,12745,,13919,14629,558,758,436,30300,15671,,4727,37092,4114,4114
20233,PO,SPEC,Stichting Mytylschool Tilburg,2012,20233-2012,5778855,1156173,777500,1156345,8752577,0.66,0.13,0.09,0.13,275972,275972,,88660,105727,103701,8425,22189,333202,196976,145066,195805,537847,12444,12444
20233,PO,SPEC,Stichting Mytylschool Tilburg,2013,20233-2013,5847941,1180271,853335,1189239,9481518,0.62,0.12,0.09,0.13,262080,262080,,78692,105486,110574,5967,28268,799284,212265,195554,125476,533295,12140,12140
20233,PO,SPEC,Stichting Mytylschool Tilburg,2014,20233-2014,5700452,1227272,779063,987635,8371858,0.68,0.15,0.09,0.12,239117,239117,,78512,89980,109017,8704,23871,368114,270855,132358,120715,523928,10728,10728
20233,PO,SPEC,Stichting Mytylschool Tilburg,2015,20233-2015,5375000,1147000,650000,746000,7901000,0.68,0.15,0.08,0.09,185000,185000,,68000,89000,117000,10000,32000,381000,98000,,430000,528000,21000,22000
20233,PO,SPEC,Stichting Mytylschool Tilburg,2016,20233-2016,5374000,896000,624000,562000,7765000,0.69,0.12,0.08,0.07,216000,216000,,67000,76000,112000,6000,42000,363000,118000,103000,265000,553000,33000,33000
20243,PO,BO3,Ver Stg Insth Ned Herv,2012,20243-2012,1162961,252304,158214,151,1538799,0.76,0.16,0.10,0.00,48270,48270,9180,9947,30441,40479,5941,3014,177002,107273,91815,17092,216180,4075,4075
20243,PO,BO3,Ver Stg Insth Ned Herv,2013,20243-2013,1137364,241729,165126,14338,1527938,0.74,0.16,0.11,0.01,56321,56321,9403,8216,32216,47352,2288,5003,142478,131050,88231,8084,227365,5390,5390
20243,PO,BO3,Ver Stg Insth Ned Herv,2014,20243-2014,1128775,224774,164793,13935,1554134,0.73,0.14,0.11,0.01,85888,85888,9580,15142,24492,47003,2206,7582,134005,131579,544,95171,227294,4410,4410
20243,PO,BO3,Ver Stg Insth Ned Herv,2015,20243-2015,1227053,250438,149421,18357,1661587,0.74,0.15,0.09,0.01,65976,65976,10416,18544,20773,41508,1732,9895,135868,89490,3810,25494,215054,4450,4450
20243,PO,BO3,Ver Stg Insth Ned Herv,2016,20243-2016,1301455,262233,148956,2030,1696786,0.77,0.15,0.09,0.00,69380,69380,12067,19097,18791,44040,1749,8492,137236,111697,2874,24320,248588,3509,3509
20252,PO,BO1,Ver. Jenaplanonderw. Oudewater,2012,20252-2012,565793,123518,78416,,757247,0.75,0.16,0.10,0.00,24337,24337,,1031,13933,23617,2244,17089,57914,24135,41577,34629,100341,3700,3700
20252,PO,BO1,Ver. Jenaplanonderw. Oudewater,2013,20252-2013,563414,120253,81379,4311,774144,0.73,0.16,0.11,0.01,25571,25571,,2043,12815,26003,1973,6323,49157,23624,52853,36903,113380,,
20252,PO,BO1,Ver. Jenaplanonderw. Oudewater,2014,20252-2014,564951,135010,79560,7421,782548,0.72,0.17,0.10,0.01,25616,25616,,3998,12002,25966,2218,1830,46014,30408,52698,32048,115154,3691,3691
20252,PO,BO1,Ver. Jenaplanonderw. Oudewater,2015,20252-2015,605476,146630,76190,6984,818385,0.74,0.18,0.09,0.01,27093,27093,,5244,11522,25699,1630,2658,54253,25088,28516,36080,104490,3690,3690
20252,PO,BO1,Ver. Jenaplanonderw. Oudewater,2016,20252-2016,595798,136319,70007,11596,840146,0.71,0.16,0.08,0.01,25431,25431,,5531,14757,27118,855,4120,59881,28679,46747,29683,105109,5121,5121
20281,PO,BO6,Stichting Lucas Onderwijs,2012,20281-2012,140287184,23107257,19875486,2186130,185214747,0.76,0.12,0.11,0.01,6419398,6419398,599467,2242319,2960607,5122682,250258,1012585,16203135,3033857,8848664,12166210,24048731,140937,189337
20281,PO,BO6,Stichting Lucas Onderwijs,2013,20281-2013,137916548,23807271,21292435,2192605,184226999,0.75,0.13,0.12,0.01,5753936,5753936,351193,1474564,4017851,5134535,269654,1425933,17007368,2743787,8863214,13200847,24807848,212601,257561
20281,PO,BO6,Stichting Lucas Onderwijs,2014,20281-2014,139078798,24343366,20920687,2028308,187455195,0.74,0.13,0.11,0.01,5118277,5118277,1413518,1490822,3655652,5218868,284748,2023667,20858954,2653898,9755071,13552359,25961328,106692,118635
20281,PO,BO6,Stichting Lucas Onderwijs,2015,20281-2015,144676052,22985791,18554771,5821370,195045821,0.74,0.12,0.10,0.03,5592632,5592632,1381063,1766092,3366283,5433569,285572,1821096,20916797,2416729,2857100,11321725,23652345,92980,119517
20281,PO,BO6,Stichting Lucas Onderwijs,2016,20281-2016,148720163,25508978,18160836,6573018,203013109,0.73,0.13,0.09,0.03,6365870,6365870,511923,2522364,3379065,5049593,287481,1460248,20201251,2573486,2776865,11189999,24040880,101121,131371
20450,PO,BO1,Ver. Basisond. te Aagtekerke,2012,20450-2012,543878,117251,73938,3751,746053,0.73,0.16,0.10,0.01,30429,30429,,4067,8649,14236,1005,1750,35707,25842,1595,58535,85972,2279,2279
20450,PO,BO1,Ver. Basisond. te Aagtekerke,2013,20450-2013,534421,102387,71898,1280,687184,0.78,0.15,0.10,0.00,31492,31492,,995,13427,14335,1000,1405,37162,23289,40193,13603,77085,2378,2378
20450,PO,BO1,Ver. Basisond. te Aagtekerke,2014,20450-2014,514724,99113,68112,1831,681088,0.76,0.15,0.10,0.00,31479,31479,,1280,11413,13043,982,1945,34663,21345,2230,56981,80556,2426,2426
20450,PO,BO1,Ver. Basisond. te Aagtekerke,2015,20450-2015,510833,105324,62313,35283,728903,0.70,0.14,0.09,0.05,35680,35680,,3170,11585,14098,1020,2409,52282,22880,3753,16318,83106,3085,3085
20450,PO,BO1,Ver. Basisond. te Aagtekerke,2016,20450-2016,566945,113990,65113,3731,731288,0.78,0.16,0.09,0.01,42404,42404,,1653,11617,8164,1026,2291,44751,29286,1940,16379,86484,5354,5354
20671,PO,BO5,Westlandse Stg. Kath. Onderw.,2012,20671-2012,13329920,3141082,1963147,,18827128,0.71,0.17,0.10,0.00,642153,642153,28130,131846,505056,473895,53421,39041,1231389,412539,770873,487089,1670501,20328,20328
20671,PO,BO5,Westlandse Stg. Kath. Onderw.,2013,20671-2013,13445844,2796837,2073741,,18631908,0.72,0.15,0.11,0.00,829344,829344,36647,177443,449472,461931,52737,33402,1211632,422249,816751,524706,1763706,21000,31530
20671,PO,BO5,Westlandse Stg. Kath. Onderw.,2014,20671-2014,13681662,2612293,1968737,,18537445,0.74,0.14,0.11,0.00,616980,616980,76908,185295,464776,472735,41444,198789,1439947,418085,714621,670065,1802771,25000,25400
20671,PO,BO5,Westlandse Stg. Kath. Onderw.,2015,20671-2015,13673198,2312741,2035588,,18105483,0.76,0.13,0.11,0.00,491792,491792,42678,375595,440762,467252,60176,118636,2015589,414016,30000,628839,1823640,24000,25682
20671,PO,BO5,Westlandse Stg. Kath. Onderw.,2016,20671-2016,14120990,1823007,1536281,,17446781,0.81,0.10,0.09,0.00,575784,575784,33155,391113,361813,475917,19928,68841,1921547,380302,136392,546305,1992072,27491,27491
