Bevoegd Gezag,Sector,Groepering,Naam,Jaar,Key,Lonen en salarissen,Sociale lasten,Pensioenlasten,Lasten personeel niet in loondienst,Personeelslasten,Lonen en salarissen/totaal personeel,Sociale lasten/totaal personeel,Pensioenlasten/totaal personeel,Lasten personeel niet in loondienst/totaal personeel,Afschrijvingen op materiÔle vaste activa,Afschrijvingen,Huurlasten,Onderhoudslasten (klein onderhoud),Lasten voor energie en water,Schoonmaakkosten,Belastingen en heffingen,Overige (overige huisvestingslasten),Huisvestingslasten,Administratie- en beheerslasten,Inventaris en apparatuur,Overige (overige overige lasten),Overige lasten,Accountantshonoraria inzake het onderzoek van de jaarrekening,Accountantshonoraria
10249,PO,BO6,Gemeente Emmen,2012,10249-2012,16879192,4175785,3989065,510357,24287344,0.69,0.17,0.16,0.02,592906,592906,30603,504466,609297,644986,141373,11297,1942022,1805973,978564,1283357,4067894,,
10249,PO,BO6,Gemeente Emmen,2013,10249-2013,15940515,3954158,4019488,1294154,24510527,0.65,0.16,0.16,0.05,639300,639300,37860,715793,540478,654550,76824,14819,2040324,1839774,1073938,1225061,4138773,,
10249,PO,BO6,Gemeente Emmen,2014,10249-2014,16041419,4168517,3377436,2637383,25898900,0.62,0.16,0.13,0.10,1008098,1008098,56064,917289,528758,656246,144269,121698,2424324,1981418,1109059,831327,3921804,21000,21000
10249,PO,BO6,Gemeente Emmen,2015,10249-2015,16329610,2339160,3017001,3276637,26398464,0.62,0.09,0.11,0.12,628883,628883,93432,1772747,448288,675807,136171,5375,3131820,1754534,1033804,822176,3610514,29000,29000
10249,PO,BO6,Gemeente Emmen,2016,10249-2016,16957825,2467851,2835304,2347747,26029840,0.65,0.09,0.11,0.09,697727,697727,75728,1408561,488896,622357,135358,6562,2737462,1865105,1095820,353323,3314248,15000,15000
10426,PO,BO5,Gemeente Hoogezand-Sappemeer,2012,10426-2012,8562374,1705642,1188606,65034,11302899,0.76,0.15,0.11,0.01,322511,322511,20264,145070,229505,266235,29359,56812,747245,477576,618937,57247,1153760,7438,7438
10426,PO,BO5,Gemeente Hoogezand-Sappemeer,2013,10426-2013,8351068,1658854,1246494,46982,11007377,0.76,0.15,0.11,0.00,254312,254312,20905,145566,219589,272215,32116,69482,759873,538445,544205,52818,1135468,11580,11580
10426,PO,BO5,Gemeente Hoogezand-Sappemeer,2014,10426-2014,7809098,1859863,1129367,137025,10701930,0.73,0.17,0.11,0.01,256313,256313,54119,177406,228096,270150,33978,59457,823206,550329,548142,45176,1143647,20032,20032
10426,PO,BO5,Gemeente Hoogezand-Sappemeer,2015,10426-2015,7810578,1767229,988687,84371,11329980,0.69,0.16,0.09,0.01,259146,259146,57770,169159,218597,299484,32589,61457,839056,826035,528556,50208,1434265,,
10426,PO,BO5,Gemeente Hoogezand-Sappemeer,2016,10426-2016,6885022,1532785,787246,2491,9934570,0.69,0.15,0.08,0.00,233409,233409,41548,164565,267080,286863,43094,81134,884284,208029,194,561495,1142879,52110,52110
10867,PO,BO3,Gemeente Terschelling,2012,10867-2012,1875333,316657,255711,20548,2613634,0.72,0.12,0.10,0.01,124703,124703,,59733,60647,53353,5520,1950,256203,94727,128825,49202,272754,,
10867,PO,BO3,Gemeente Terschelling,2013,10867-2013,1748427,293968,268233,13041,2569260,0.68,0.11,0.10,0.01,127912,127912,,161078,64428,48191,7048,1096,281841,92626,116966,68391,277983,,
10867,PO,BO3,Gemeente Terschelling,2014,10867-2014,1753533,322462,260758,69847,2475562,0.71,0.13,0.11,0.03,127440,127440,,65150,48861,48336,6021,4445,212813,89516,135008,59491,284015,,
10867,PO,BO3,Gemeente Terschelling,2015,10867-2015,1866078,329096,235399,71108,2537752,0.74,0.13,0.09,0.03,119056,119056,,89855,53005,37039,7988,3474,231361,74346,2696,90021,285049,0,0
10867,PO,BO3,Gemeente Terschelling,2016,10867-2016,1980136,342968,235927,57879,2665518,0.74,0.13,0.09,0.02,120943,120943,,74072,78502,34517,10814,7820,205725,78154,572,91588,273367,0,0
10925,PO,BO4,Gemeente Westerwolde,2012,10925-2012,2832120,592960,380902,47405,3809307,0.74,0.16,0.10,0.01,70694,70694,,52068,44052,81429,4475,28775,210799,218266,216130,37734,472130,9900,9900
10925,PO,BO4,Gemeente Westerwolde,2013,10925-2013,2816602,579730,410197,74606,3803641,0.74,0.15,0.11,0.02,80841,80841,,27240,76098,82356,6905,33693,226292,229059,248474,34022,511555,,
10925,PO,BO4,Gemeente Westerwolde,2014,10925-2014,2853691,684331,419629,,4052866,0.70,0.17,0.10,0.00,78860,78860,,68695,40029,50856,7136,52382,219098,64016,201890,225941,491847,16253,16253
10925,PO,BO4,Gemeente Westerwolde,2015,10925-2015,3607154,702398,382847,,4414075,0.82,0.16,0.09,0.00,78234,78234,,55401,45801,48563,6154,12838,168757,73601,194423,199460,467484,38097,38097
10925,PO,BO4,Gemeente Westerwolde,2016,10925-2016,3414274,728378,409713,150209,4677813,0.73,0.16,0.09,0.03,105991,105991,,145380,27376,33349,1117,16778,224000,33674,230751,203295,467720,9341,9341
11711,PO,BO5,Gem Noordenveld,2012,11711-2012,7881273,1607978,1090295,94992,10539471,0.75,0.15,0.10,0.01,326527,326527,23321,216243,225739,282308,26368,7260,781239,177746,546293,263470,987509,,
11711,PO,BO5,Gem Noordenveld,2013,11711-2013,8014735,1429460,1167091,110140,10729843,0.75,0.13,0.11,0.01,350118,350118,23773,175848,235330,254014,11940,8914,709819,169394,553569,195041,918004,,
11711,PO,BO5,Gem Noordenveld,2014,11711-2014,7539681,1752431,1105490,161184,10562690,0.71,0.17,0.10,0.02,322774,322774,23811,321300,276748,255859,10590,,888308,158494,540008,263683,962185,15600,15600
11711,PO,BO5,Gem Noordenveld,2015,11711-2015,7688468,1576088,964017,168866,10593359,0.73,0.15,0.09,0.02,325385,325385,23583,217206,179675,254261,14617,,689342,146567,510709,294923,952199,15946,15946
11711,PO,BO5,Gem Noordenveld,2016,11711-2016,7734121,1321048,924774,257526,10636516,0.73,0.12,0.09,0.02,316449,316449,23840,218722,179884,285421,21465,,729332,159622,568124,438232,1165978,16156,16156
11764,PO,BO1,Gemeente Eijsden-Margraten,2012,11764-2012,308257,,,,311597,0.99,0.00,0.00,0.00,876,876,,3219,5926,7831,717,80,19273,20329,13140,17123,50592,2075,2075
11764,PO,BO1,Gemeente Eijsden-Margraten,2013,11764-2013,320559,,,2881,332393,0.96,0.00,0.00,0.01,1183,1183,,1224,6985,7895,394,117,16615,24036,23571,9735,57342,4308,4308
11764,PO,BO1,Gemeente Eijsden-Margraten,2014,11764-2014,343341,,,3051,342202,1.00,0.00,0.00,0.01,3101,3101,,3255,8131,8069,341,104,23828,19455,21601,9498,50554,3086,3086
11764,PO,BO1,Gemeente Eijsden-Margraten,2015,11764-2015,229539,54440,29392,41454,365535,0.63,0.15,0.08,0.11,3087,3087,,16712,6794,8444,361,-80,34681,20513,6876,18972,57279,5233,5233
11764,PO,BO1,Gemeente Eijsden-Margraten,2016,11764-2016,246994,57660,29970,42692,377690,0.65,0.15,0.08,0.11,4395,4395,,2350,6667,8710,573,0,51935,17817,8501,11036,50088,3720,3720
13308,PO,BO1,Bestcom Gieterveen,2012,13308-2012,364136,76524,49678,4545,500765,0.73,0.15,0.10,0.01,16629,16629,,1780,7804,10996,206,686,23472,19957,31114,11747,62818,6000,6000
13308,PO,BO1,Bestcom Gieterveen,2013,13308-2013,355766,75982,52233,4651,488274,0.73,0.16,0.11,0.01,19201,19201,,1230,9647,10598,215,1712,25402,20250,30271,7427,57948,6165,6165
13308,PO,BO1,Bestcom Gieterveen,2014,13308-2014,358473,85697,51377,6839,515923,0.69,0.17,0.10,0.01,20315,20315,,3869,9662,11097,,,26628,17400,28960,9720,56080,6000,6000
13308,PO,BO1,Bestcom Gieterveen,2015,13308-2015,390255,91067,47492,2686,555931,0.70,0.16,0.09,0.00,20165,20165,1714,9817,,12610,159,198,35998,23846,15665,9665,70424,6003,6003
13308,PO,BO1,Bestcom Gieterveen,2016,13308-2016,362290,84767,43015,19217,507551,0.71,0.17,0.08,0.04,20742,20742,1664,9843,,12370,873,674,25424,14464,6943,17313,53524,6000,6000
13622,PO,BO6,Stichting OPO Haarlemmermeer,2012,13622-2012,19977743,,,28033,20327118,0.98,0.00,0.00,0.00,341145,341145,41796,117922,380897,474350,71135,309126,1681026,1303042,1077914,,2380956,60500,60500
13622,PO,BO6,Stichting OPO Haarlemmermeer,2013,13622-2013,14505564,3158607,2209001,31506,19952447,0.73,0.16,0.11,0.00,412015,412015,27156,30083,493459,457058,73783,125047,1769886,1368869,964875,,2333744,,
13622,PO,BO6,Stichting OPO Haarlemmermeer,2014,13622-2014,15585429,3445023,2123248,,20114129,0.77,0.17,0.11,0.00,442657,442657,75646,7720,430077,491133,61694,121507,1751077,1232355,1057354,,2289709,,
13622,PO,BO6,Stichting OPO Haarlemmermeer,2015,13622-2015,14012009,3364167,1850787,82976,20019492,0.70,0.17,0.09,0.00,454627,454627,85578,36998,307154,500382,59859,167552,1897523,79289,,94507,2039259,21400,25258
13622,PO,BO6,Stichting OPO Haarlemmermeer,2016,13622-2016,13866087,3302670,1731489,48197,20056804,0.69,0.16,0.09,0.00,505881,505881,83100,44618,303499,486310,70012,129057,1856596,79991,,160008,2021829,29125,31485
13662,PO,BO5,Stg. Openb. Onderwijs Present,2012,13662-2012,6443391,707745,805951,621127,8293288,0.78,0.09,0.10,0.07,274492,274492,65,78148,209048,274632,31810,24432,880433,175187,532519,,707706,15173,15173
13662,PO,BO5,Stg. Openb. Onderwijs Present,2013,13662-2013,6087944,709054,818907,764771,8205181,0.74,0.09,0.10,0.09,282079,282079,982,75860,208346,257110,32212,22697,855407,197058,506629,,703687,15000,15000
13662,PO,BO5,Stg. Openb. Onderwijs Present,2014,13662-2014,6048480,724664,790822,871238,8275722,0.73,0.09,0.10,0.11,244914,244914,1437,72158,209999,258554,32316,20021,858670,175875,468943,,644818,16799,16799
13662,PO,BO5,Stg. Openb. Onderwijs Present,2015,13662-2015,5984862,743657,686600,603640,7978407,0.75,0.09,0.09,0.08,263071,263071,,85877,185554,263558,32981,24071,822041,201657,105140,87512,663738,14882,14882
13662,PO,BO5,Stg. Openb. Onderwijs Present,2016,13662-2016,5887266,765408,653925,355641,7851278,0.75,0.10,0.08,0.05,247905,247905,692,83841,163242,239071,34905,27244,859316,187919,125624,111314,708669,10691,10691
13674,PO,BO5,Stichting Oog,2012,13674-2012,9597280,1980132,1310985,615138,12969551,0.74,0.15,0.10,0.05,393182,393182,46160,48385,255663,287248,38563,154391,1022863,523257,618557,258322,1400136,,
13674,PO,BO5,Stichting Oog,2013,13674-2013,9331168,1643433,1335773,880858,13028579,0.72,0.13,0.10,0.07,335702,335702,70576,196035,209998,300164,40202,144979,961954,457941,662297,231261,1351499,,
13674,PO,BO5,Stichting Oog,2014,13674-2014,9226167,1919700,1312985,426701,12629201,0.73,0.15,0.10,0.03,398865,398865,57936,254443,237496,300422,37225,148844,1036366,215959,631212,244183,1091354,,
13674,PO,BO5,Stichting Oog,2015,13674-2015,9442262,942092,1128051,199010,12570017,0.75,0.07,0.09,0.02,482653,482653,56232,174793,180946,286304,35494,298154,1031923,198632,711892,253141,1163665,20599,20599
13674,PO,BO5,Stichting Oog,2016,13674-2016,9332016,1746016,1049808,222166,12543123,0.74,0.14,0.08,0.02,475852,475852,71214,150644,248179,298463,33066,260880,1062446,231364,668209,218712,1118285,17318,17318
13682,PO,BO3,Openbaar Prim. Onderw. Oegstg.,2012,13682-2012,3970151,411271,490752,37541,4756842,0.83,0.09,0.10,0.01,128872,128872,,16370,91812,129066,5372,72758,451099,132498,299002,,431500,9438,9438
13682,PO,BO3,Openbaar Prim. Onderw. Oegstg.,2013,13682-2013,3782196,423881,504410,45836,4685032,0.81,0.09,0.11,0.01,132008,132008,,1721,119349,128750,4477,33930,419227,127417,401380,,528797,9716,9716
13682,PO,BO3,Openbaar Prim. Onderw. Oegstg.,2014,13682-2014,3848353,443656,491420,111546,4753229,0.81,0.09,0.10,0.02,159414,159414,,507,83870,132034,19183,9873,376467,114601,361507,,476108,9983,9983
13682,PO,BO3,Openbaar Prim. Onderw. Oegstg.,2015,13682-2015,3714204,471960,447532,124085,4977031,0.75,0.09,0.09,0.02,159789,159789,,3644,62463,138672,18220,36891,574075,153859,380611,,534470,14000,14000
