bevoegdgezag,sector,groepering,naam,year,bestuur_key,lonenensalarissen,socialelasten,pensioenlasten,lastenpersoneelnietinloondienst,personeelslasten,lonenensalarissentotaalpersoneel,socialelastentotaalpersoneel,pensioenlastentotaalpersoneel,lastenpersoneelnietinloondienstt,afschrijvingenopmateriãlevasteac,afschrijvingen,huurlasten,onderhoudslastenkleinonderhoud,lastenvoorenergieenwater,schoonmaakkosten,belastingenenheffingen,overigeoverigehuisvestingslasten,huisvestingslasten,administratieenbeheerslasten,inventarisenapparatuur,overigeoverigeoverigelasten,overigelasten,accountantshonorariainzakehetond,accountantshonoraria,bevoegd_gezagnummer,bevoegd_gezagnaam,postcode_bevoegd_gezag,eenpitter,aantal_leerlingen,categorie_bestuuromvang,aantal_gewichtleerlingen,gemiddeld_leerlinggewicht,aandeel_apcg_leerlingen,aandeel_lwoo_leerlingen,aantal_voltijdleerlingen,aantal_deeltijdleerlingen,aantal_leerlingen_vbo_groen,aantal_bol_leerlingen,aantal_bol_deeltijdleerlingen,aantal_bbl_leerlingen,aandeel_leerlingen_randstad,omvang_formatie_totaal,omvang_formatie_manager,omvang_formatie_op,omvang_formatie_lio,omvang_formatie_oop_obp,omvang_formatie_onbekend,leerling_leraar_ratio,gewogen_deelnemer_leraar_ratio,omvang_formatie_op_la,omvang_formatie_op_lb,omvang_formatie_op_lc,omvang_formatie_op_ld,omvang_formatie_op_le,omvang_formatie_op_overig,aandeel_formatie_op_la,aandeel_formatie_op_lb,aandeel_formatie_op_lc,aandeel_formatie_op_ld,aandeel_formatie_op_le,aandeel_formatie_op_overig,streefpercentage_formatie_op_la,streefpercentage_formatie_op_lb,streefpercentage_formatie_op_lc,streefpercentage_formatie_op_ld,streefpercentage_formatie_op_le,streefpercentage_formatie_op_ove,omvang_formatie_op_brutsal,loonsom_op_brutsal,gemiddelde_loonsom_op_brutsal,solvabiliteiti,solvabiliteitii,rentabiliteit,liquiditeitcurrentratio,liquiditeitquickratio,weerstandsvermogenexclusiefmater,weerstandsvermogen,personeelslastenrijksbijdragen,personeelslastentotaalbatenplusf,personeelslastentotaallastenplus,voorzieningentotaalbatenplusfina,rijksbijdragentotaalbatenplusfin,overigeoverheidsbijdragenensubsi,huisvestingsratio,kapitalisatiefactor,algemenereservetotaalbatenplusfi,investeringeninventarisenapparat,nettowerkkapitaal,aantalinstellingen,variatieinlb,_merge
87920,PO,BO3,Stg Insth Sch md Bijbel,2012,87920-2012,1847295,325003,217717,125,2364537,0.78,0.14,0.09,0.00,129152,129152,25972,21190,70635,74131,75838,6897,274663,96551,82164,88907,267622,5531,5531,87920,Ver. tot Stg. en Instandhoud. van Scholen md Bijbel Lunteren,6741,0,609,2,642.90002,1.1,0,0,0,0,0,0,0,0,,33.5,4,27.5,0,2,0,22.200001,,25.700001,1.7,0,0,0,0,93.599998,6.4000001,0,0,0,0,,,,,,,27.450001,83343.531,3035.97,0.71,0.73,-0.04,0.73,0.73,-0.07,0.47,0.89,0.79,0.78,0.01,0.89,0.06,0.10,0.32,0.22,0.01,-0.05,3,.40414518,matched (3)
87920,PO,BO3,Stg Insth Sch md Bijbel,2013,87920-2013,1767973,328323,228087,,2340096,0.76,0.14,0.10,0.00,127108,127108,,10679,60195,63630,4342,10456,178302,87999,98055,70399,256453,5636,5636,87920,Ver. tot Stg. en Instandhoud. van Scholen md Bijbel Lunteren,6741,0,592,2,622.90002,1.1,0,0,0,0,0,0,0,0,,35.599998,4,29.799999,0,1.8,0,19.9,,28.1,1.7,0,0,0,0,94.199997,5.8000002,0,0,0,0,,,,,,,29.82,89072.992,2986.8999,0.82,0.85,0.13,1.55,1.55,0.05,0.55,0.84,0.70,0.81,0.02,0.84,0.07,0.07,0.32,0.28,0.02,0.06,3,.40414518,matched (3)
87920,PO,BO3,Stg Insth Sch md Bijbel,2014,87920-2014,1807173,378509,224819,150,2395000,0.75,0.16,0.09,0.00,117531,117531,1978,16277,63295,65016,1521,117355,299394,82564,86937,81214,250715,5745,5745,87920,Ver. tot Stg. en Instandhoud. van Scholen md Bijbel Lunteren,6741,0,576,2,604.79999,1.1,0,0,0,0,0,0,0,0,,33.099998,4,27,0,2.2,0,21.299999,,22.5,4.5,0,0,0,0,83.400002,16.6,0,0,0,0,58,40,2,0,0,0,26.98,82127.047,3043.6101,0.82,0.86,-0.02,1.67,1.67,0.05,0.59,0.90,0.80,0.78,0.02,0.89,0.07,0.11,0.35,0.33,0.02,0.07,3,1.1676186,matched (3)
87920,PO,BO3,Stg Insth Sch md Bijbel,2015,87920-2015,1773533,211433,203090,300,2376561,0.75,0.09,0.09,0.00,127095,127095,,18578,38596,67537,9805,94355,293480,73244,105395,82900,261539,5670,5670,87920,Ver. tot Stg. en Instandhoud. van Scholen md Bijbel Lunteren,6741,0,584,2,612.79999,1,0,0,0,0,0,0,0,0,,35.200001,4,28.4,0,2.7,0,20.6,,21.1,7.4000001,0,0,0,0,74.099998,25.9,0,0,0,0,,,,,,,28.42,87367.977,3074.3899,0.80,0.85,0.01,2.34,2.34,0.12,0.59,0.87,0.77,0.78,0.04,0.88,0.07,0.10,0.40,0.34,0.01,0.14,3,2.0404248,matched (3)
87920,PO,BO3,Stg Insth Sch md Bijbel,2016,87920-2016,1960083,263560,208947,3030,2529574,0.77,0.10,0.08,0.00,125045,125045,,29191,41332,68137,6914,9169,222475,79384,482,75200,271409,5693,5693,87920,Ver. tot Stg. en Instandhoud. van Scholen md Bijbel Lunteren,6741,0,578,2,603.5,1,0,0,0,0,0,0,0,0,,35.5,4,28.1,0,3.4000001,0,20.6,,21.4,6.6999998,0,0,0,0,76.199997,23.799999,0,0,0,0,,,,,,,28.129999,89521.063,3182.8799,0.78,0.85,0.02,3.08,3.08,0.21,0.59,0.89,0.79,0.80,0.05,0.89,0.07,0.08,0.49,0.35,0.01,0.24,3,1.7785763,matched (3)
87998,PO,BO1,Ver. School met de Bijbel,2012,87998-2012,540160,115271,72871,906,705107,0.77,0.16,0.10,0.00,39107,39107,,5147,7925,1899,528,818,22317,30939,49249,4647,84835,,,87998,Ver. School met de Bijbel Maartensdijk,3738,1,178,1,183.39999,1,0,0,0,0,0,0,0,0,,11.2,1,8.5,0,1.8,0,21,,5.1999998,3.3,0,0,0,0,61.700001,38.299999,0,0,0,0,,,,,,,7.8699999,25635.061,3258.8899,0.86,0.92,-0.03,7.10,7.10,0.64,1.09,0.91,0.86,0.83,0.07,0.94,0.01,0.03,1.03,0.63,0.00,0.61,1,0,matched (3)
87998,PO,BO1,Ver. School met de Bijbel,2013,87998-2013,508415,98683,74781,45,682838,0.74,0.14,0.11,0.00,40494,40494,,2932,11108,2341,1299,591,24271,44651,52661,7284,104596,2378,2378,87998,Ver. School met de Bijbel Maartensdijk,3738,1,184,1,190,1,0,0,0,0,0,0,0,0,,11,1,8.3000002,0,1.8,0,22.299999,,4.4000001,3.9000001,0,0,0,0,53.099998,46.900002,0,0,0,0,,,,,,,8.2600002,27072.859,3278.3,0.88,0.94,0.07,9.43,9.43,0.70,1.05,0.83,0.75,0.80,0.07,0.91,0.00,0.03,1.00,0.62,0.02,0.64,1,0,matched (3)
87998,PO,BO1,Ver. School met de Bijbel,2014,87998-2014,511238,101079,72802,,692269,0.74,0.15,0.11,0.00,39265,39265,,7259,9333,3142,1085,2213,58832,36146,57484,6073,99703,2426,2426,87998,Ver. School met de Bijbel Maartensdijk,3738,1,179,1,184.39999,1,0,0,0,0,0,0,0,0,,10.8,1,8.3000002,0,1.5,0,21.700001,,4.4000001,3.9000001,0,0,0,0,53.099998,46.900002,0,0,0,0,58,40,2,0,0,0,8.2600002,27600.189,3342.1599,0.88,0.95,-0.01,11.50,11.50,0.72,1.08,0.83,0.79,0.78,0.08,0.95,0.00,0.07,1.23,0.65,0.01,0.70,1,0,matched (3)
87998,PO,BO1,Ver. School met de Bijbel,2015,87998-2015,539423,110717,65615,0,712154,0.76,0.16,0.09,0.00,39427,39427,0,832,10262,2667,2036,943,53340,27527,2328,7609,87101,2995,2995,87998,Ver. School met de Bijbel Maartensdijk,3738,1,175,1,181,1,0,0,0,0,0,0,0,0,,11.5,1,9,0,1.5,0,19.5,,5,4,0,0,0,0,55.299999,44.700001,0,0,0,0,,,,,,,8.96,30450.461,3399.3201,0.85,0.93,0.02,8.99,8.99,0.69,1.06,0.82,0.79,0.80,0.09,0.96,0.00,0.06,1.24,0.64,0.06,0.69,1,0,matched (3)
87998,PO,BO1,Ver. School met de Bijbel,2016,87998-2016,557422,108792,63550,120,736786,0.76,0.15,0.09,0.00,40682,40682,0,534,7502,2724,2528,1019,48807,33409,3603,7343,96505,3297,3297,87998,Ver. School met de Bijbel Maartensdijk,3738,1,187,1,195.7,1,0,0,0,0,0,0,0,0,,10.7,1,8,0,1.7,0,23.4,,4.0999999,3.9000001,0,0,0,0,51.599998,48.400002,0,0,0,0,,,,,,,8,28315.75,3537.3899,0.85,0.94,-0.01,10.47,10.47,0.68,1.04,0.83,0.81,0.80,0.11,0.96,0.00,0.05,1.22,0.63,0.03,0.71,1,0,matched (3)
