Bgnum,Naam,LA,LB,LC,LD,LE,Rest,Leraren,Leerlingen,SolvabiliteitI.2016,SolvabiliteitII.2016,Rentabiliteit.2016,Liquiditeitcurrentratio.2016,Liquiditeitquickratio.2016,Weerstandsvermogenexclusiefmateriëlevasteactiva.2016,Weerstandsvermogen.2016,Personeelslastenrijksbijdragen.2016,Personeelslastentotaalbatenplusfinanciëlebaten.2016,Personeelslastentotaallastenplusfinanciëlelasten.2016,Voorzieningentotaalbatenplusfinanciëlebaten.2016,Rijksbijdragentotaalbatenplusfinanciëlebaten.2016,Huisvestingsratio.2016,Investeringenhuisvestingtotaalbatenplusfinanciëlebaten.2016,Kapitalisatiefactor.2016,Nettowerkkapitaal.2016
41421,ALLURE Stichting openbaar primair onderwijs,78.80,21.20,0.00,0.00,0.00,0.00,100.70,1827.00,0.5113283987920110,0.6912302509830090,1.42,2.4547260036898000,2.4547260036898000,9.97,18.54,81.00,79.35,80.49,6.52,97.96,8.92,,0.3622566920416920,16.29
41424,Stg. Chr. Primair Onderwijs Betuwe & Bommelerwaard,75.40,24.10,0.50,0.00,0.00,0.00,177.80,3101.00,0.6774372840872970,0.8203425898788410,1.06,3.4337644463970300,3.4337644463970300,29.39,42.73,84.51,80.08,80.94,9.01,94.76,7.80,,0.6134046729885380,27.58
41425,Vereniging voor Protestants Christelijk onderwijs EN3,79.60,20.40,0.00,0.00,0.00,0.00,27.10,476.00,0.8139358880541750,0.8404531617471690,5.56,4.8251802851605100,4.8251802851605100,32.97,45.34,80.97,79.86,84.57,1.48,98.63,4.13,0.11,0.5510878824342870,33.99
41434,Stg. Primair Openbaar Onderw. in de Regio Waterland/Oostzaan,77.30,22.20,0.00,0.00,0.00,0.40,225.80,4186.00,0.6030586904849260,0.7547718568558120,1.57,2.7472599038569600,2.7472599038569600,10.63,22.40,84.86,82.85,84.17,5.64,97.62,7.64,0.55,0.3663378753048300,15.92
41435,Stichting BRAVOO,82.50,17.50,0.00,0.00,0.00,0.00,104.70,2089.00,0.5671601766031430,0.6741870851304640,1.97,1.8249406558603200,1.8249406558603200,8.64,18.97,81.73,78.99,80.57,3.58,96.65,10.40,,0.3332540253289300,8.99
41438,Stg. Reg. Openb. Basisonderw. Surplus,80.90,19.10,0.00,0.00,0.00,0.00,189.70,3419.00,0.5774739165906470,0.7822718801091680,-0.68,3.2958315489051200,3.2958315489051200,15.22,28.37,85.72,81.62,81.07,10.06,95.22,8.24,0.65,0.4594639987770110,24.55
41439,Vereniging voor protestants-christelijk primair onderwijs TriVia,75.10,24.90,0.00,0.00,0.00,0.00,136.40,2478.00,0.7662862726766010,0.8719542387269410,2.29,6.0855428548011300,6.0855428548011300,52.00,67.84,85.10,80.68,82.57,9.36,94.81,5.69,0.00,0.8174499693458570,57.65
41440,Stichting Christelijk Onderwijs Over-en Midden-Betuwe,63.70,28.60,7.60,0.00,0.00,0.00,11.20,187.00,0.4540846668871180,0.6409763476401060,-1.64,1.6590433363456500,1.6590433363456500,5.06,18.11,84.18,79.53,78.25,7.45,94.47,6.88,0.39,0.3375384711952660,9.44
41441,Stichting Librijn openbaar onderwijs,57.60,42.40,0.00,0.00,0.00,0.00,149.80,2929.00,0.5020452463075050,0.7129711101453500,0.44,2.6389709423434800,2.6389709423434800,9.89,17.93,88.71,81.15,81.51,7.53,91.48,8.57,,0.3551280457826000,16.66
41443,Stichting Invitare Openbaar Onderwijs,69.50,29.70,0.80,0.00,0.00,0.00,92.40,1684.00,0.5668595029048340,0.7364414740679960,3.15,3.0076564649555300,3.0076564649555300,20.40,29.37,87.87,80.25,82.86,8.79,91.34,7.86,0.11,0.5013504592304440,27.42
41444,ACIS Stg. voor Openb. Primair Onderwijs Hoeksche Waard,82.50,17.50,0.00,0.00,0.00,0.00,142.30,3017.00,0.6429167497058470,0.8303889582569290,1.27,3.7083946298084700,3.7083946298084700,14.78,31.95,77.02,74.30,75.25,9.32,96.47,13.89,0.01,0.4204635937987220,22.56
