BEVOEGD_GEZAGNUMMER,JAAR,Key,BEVOEGD_GEZAGNAAM,POSTCODE_BEVOEGD_GEZAG,EENPITTER,AANTAL_LEERLINGEN,CATEGORIE_BESTUUROMVANG,AANTAL_GEWICHTLEERLINGEN,GEMIDDELD_LEERLINGGEWICHT,AANDEEL_APCG_LEERLINGEN,AANDEEL_LWOO_LEERLINGEN,AANTAL_VOLTIJDLEERLINGEN,AANTAL_DEELTIJDLEERLINGEN,AANTAL_LEERLINGEN_VBO_GROEN,AANTAL_BOL_LEERLINGEN,AANTAL_BOL_DEELTIJDLEERLINGEN,AANTAL_BBL_LEERLINGEN,AANDEEL_LEERLINGEN_RANDSTAD,OMVANG_FORMATIE_TOTAAL,OMVANG_FORMATIE_MANAGER,OMVANG_FORMATIE_OP,OMVANG_FORMATIE_LIO,OMVANG_FORMATIE_OOP_OBP,OMVANG_FORMATIE_ONBEKEND,LEERLING_LERAAR_RATIO,GEWOGEN_DEELNEMER_LERAAR_RATIO,OMVANG_FORMATIE_OP_LA,OMVANG_FORMATIE_OP_LB,OMVANG_FORMATIE_OP_LC,OMVANG_FORMATIE_OP_LD,OMVANG_FORMATIE_OP_LE,OMVANG_FORMATIE_OP_OVERIG,AANDEEL_FORMATIE_OP_LA,AANDEEL_FORMATIE_OP_LB,AANDEEL_FORMATIE_OP_LC,AANDEEL_FORMATIE_OP_LD,AANDEEL_FORMATIE_OP_LE,AANDEEL_FORMATIE_OP_OVERIG,STREEFPERCENTAGE_FORMATIE_OP_LA,STREEFPERCENTAGE_FORMATIE_OP_LB,STREEFPERCENTAGE_FORMATIE_OP_LC,STREEFPERCENTAGE_FORMATIE_OP_LD,STREEFPERCENTAGE_FORMATIE_OP_LE,STREEFPERCENTAGE_FORMATIE_OP_OVERIG,OMVANG_FORMATIE_OP_BRUTSAL,LOONSOM_OP_BRUTSAL,GEMIDDELDE_LOONSOM_OP_BRUTSAL,Solvabiliteit I(%),Solvabiliteit II(%),Rentabiliteit(%),Liquiditeit (current ratio)(%),Liquiditeit (quick ratio)(%),Weerstandsvermogen exclusief materi‘le vaste activa(%),Weerstandsvermogen(%),Personeelslasten / rijksbijdragen(%),Personeelslasten / totaal baten plus financi‘le baten(%),Personeelslasten / totaal lasten plus financi‘le lasten(%),Voorzieningen / totaal baten plus financi‘le baten(%),Rijksbijdragen / totaal baten plus financi‘le baten(%),Overige overheidsbijdragen en -subsidies / totaal baten plus financi‘le baten(%),Huisvestingsratio(%),Kapitalisatiefactor(%),Algemene reserve / totaal baten plus financi‘le baten,Investeringen inventaris en apparatuur / totaal baten plus financi‘le baten(%),Netto werkkapitaal(%),Aantal instellingen,Variatie in LB,Lonen en salarissen,Sociale lasten,Pensioenlasten,Lasten personeel niet in loondienst,Personeelslasten,Lonen en salarissen/totaal personeel,Sociale lasten/totaal personeel,Pensioenlasten/totaal personeel,Lasten personeel niet in loondienst/totaal personeel,Afschrijvingen op materiÔle vaste activa,Afschrijvingen,Huurlasten,Onderhoudslasten (klein onderhoud),Lasten voor energie en water,Schoonmaakkosten,Belastingen en heffingen,Overige (overige huisvestingslasten),Huisvestingslasten,Administratie- en beheerslasten,Inventaris en apparatuur,Overige (overige overige lasten),Overige lasten,Accountantshonoraria inzake het onderzoek van de jaarrekening,Accountantshonoraria
10867,2012,10867-2012,Gemeente Terschelling,8881,0,248,1,249.8,1,0,0,0,0,0,0,0,0,,17.9,3.7,12,0,2.1,0,20.6,,11.4,0.6,0,0,0,0,94.8,5.2,0,0,0,0,,,,,,,5.92,17471.21,2950.87,0.49,0.69,0.01,2.15,2.15,0.07,0.2,0.85,0.79,0.8,0.08,0.92,0.06,0.08,0.4,0.18,0.01,0.15,3,4.808326112,1875333,316657,255711,20548,2613634,0.72,0.12,0.1,0.01,124703,124703,0,59733,60647,53353,5520,1950,256203,94727,128825,49202,272754,0,0
10867,2013,10867-2013,Gemeente Terschelling,8881,0,231,1,234.6,1,0,0,0,0,0,0,0,0,,18.2,4.5,11.5,0,2.1,0,20,,10.9,0.6,0,0,0,0,94.6,5.4,0,0,0,0,,,,,,,11.55,36406.74,3152.64,0.47,0.68,0.02,2.19,2.19,0.09,0.22,0.84,0.77,0.79,0.1,0.92,0.05,0.09,0.47,0.17,0.03,0.18,3,4.309292285,1748427,293968,268233,13041,2569260,0.68,0.11,0.1,0.01,127912,127912,0,161078,64428,48191,7048,1096,281841,92626,116966,68391,277983,0,0
10867,2014,10867-2014,Gemeente Terschelling,8881,0,217,1,219.4,1,0,0,0,0,0,0,0,0,,18.4,3.5,12.8,0,2.1,0,17,,12.1,0.6,0,0,0,0,95.1,4.9,0,0,0,0,58,40,2,0,0,0,12.76,39837.31,3122.46,0.54,0.74,0.04,2.85,2.85,0.15,0.27,0.82,0.77,0.8,0.1,0.93,0.05,0.07,0.49,0.21,0,0.24,3,3.810511777,1753533,322462,260758,69847,2475562,0.71,0.13,0.11,0.03,127440,127440,0,65150,48861,48336,6021,4445,212813,89516,135008,59491,284015,0,0
10867,2015,10867-2015,Gemeente Terschelling,8881,0,198,1,199.8,1,0,0,0,0,0,0,0,0,,18,3.5,12.4,0,2.1,0,16,,11.8,0.6,0,0,0,0,95,5,0,0,0,0,,,,,,,12.37,39650.51,3204.88,0.6,0.8,0.05,3.88,3.88,0.2,0.31,0.81,0.76,0.8,0.11,0.94,0.03,0.07,0.51,0.27,0.02,0.29,3,3.960113635,1866078,329096,235399,71108,2537752,0.74,0.13,0.09,0.03,119056,119056,0,89855,53005,37039,7988,3474,231361,74346,2696,90021,285049,0,0
10867,2016,10867-2016,Gemeente Terschelling,8881,0,184,1,184.9,1,0,0,0,0,0,0,0,0,,18.5,3.5,12.4,0,2.6,0,14.8,,11.8,0.6,0,0,0,0,95,5,0,0,0,0,,,,,,,12.44,41742.69,3355.93,0.58,0.79,0,3.09,3.09,0.14,0.32,0.88,0.82,0.82,0.12,0.93,0.04,0.06,0.47,0.28,0.01,0.25,3,3.853461647,1980136,342968,235927,57879,2665518,0.74,0.13,0.09,0.02,120943,120943,0,74072,78502,34517,10814,7820,205725,78154,572,91588,273367,0,0
10925,2012,10925-2012,Gemeente Westerwolde,9551,0,650,2,782.6,1.2,0,0,0,0,0,0,0,0,,61.6,8.2,47.1,0,6.3,0,13.8,,37.5,9.6,0,0,0,0,79.7,20.3,0,0,0,0,,,,,,,46.37,138763.06,2992.61,0.49,0.51,0.07,0.5,0.5,0.09,0.15,1.03,0.78,0.83,0.01,0.76,0.21,0.05,0.3,0,0.01,-0.07,6,1.666133248,2832120,592960,380902,47405,3809307,0.74,0.16,0.1,0.01,70694,70694,0,52068,44052,81429,4475,28775,210799,218266,216130,37734,472130,9900,9900
10925,2013,10925-2013,Gemeente Westerwolde,9551,0,644,2,782.6,1.2,0,0,0,0,0,0,0,0,,64.2,7.1,50.5,0,6.6,0,12.8,,37,13.5,0,0,0,0,73.3,26.7,0,0,0,0,,,,,,,50.51,153012.11,3029.58,0.48,0.5,-0.02,0.52,0.52,0.07,0.14,0.99,0.84,0.82,0.01,0.85,0.12,0.05,0.29,0,0,-0.07,6,1.482790163,2816602,579730,410197,74606,3803641,0.74,0.15,0.11,0.02,80841,80841,0,27240,76098,82356,6905,33693,226292,229059,248474,34022,511555,0,0
10925,2014,10925-2014,Gemeente Westerwolde,9551,0,659,2,837.8,1.3,0,0,0,0,0,0,0,0,,63.8,7.1,49.3,0,7.5,0,13.4,,36.6,12.7,0,0,0,0,74.2,25.8,0,0,0,0,58,40,2,0,0,0,49.26,152046.75,3086.31,0.36,0.37,0.02,0.8,0.8,0.11,0.15,1,0.82,0.84,0.01,0.82,0.03,0.05,0.41,0,0,-0.05,6,1.509966887,2853691,684331,419629,0,4052866,0.7,0.17,0.1,0,78860,78860,0,68695,40029,50856,7136,52382,219098,64016,201890,225941,491847,16253,16253
10925,2015,10925-2015,Gemeente Westerwolde,9551,0,591,2,656.1,1.1,0,0,0,0,0,0,0,0,,67.5,7.2,51.4,0,8.9,0,11.5,,40.7,10.7,0,0,0,0,79.2,20.8,0,0,0,0,,,,,,,51.44,159161.35,3093.9,0.35,0.36,0.02,0.85,0.85,0.12,0.16,1,0.84,0.86,0.01,0.84,0.02,0.03,0.47,0.16,0.02,-0.05,6,1.998416039,3607154,702398,382847,0,4414075,0.82,0.16,0.09,0,78234,78234,0,55401,45801,48563,6154,12838,168757,73601,194423,199460,467484,38097,38097
10925,2016,10925-2016,Gemeente Westerwolde,9551,0,660,2,791.1,1.2,0,0,0,0,0,0,0,0,,75.8,7.6,52.6,0,15.6,0,12.5,,42.9,9.7,0,0,0,0,81.5,18.5,0,0,0,0,,,,,,,52.59,169050.36,3214.41,0.26,0.27,0,0.85,0.85,0.08,0.14,1.06,0.86,0.85,0.01,0.81,0.17,0.04,0.54,0.14,0.03,-0.06,6,1.898859307,3414274,728378,409713,150209,4677813,0.73,0.16,0.09,0.03,105991,105991,0,145380,27376,33349,1117,16778,224000,33674,230751,203295,467720,9341,9341
