bevoegdgezag,year,bestuur_key,sector,groepering,naam,lonenensalarissen,socialelasten,pensioenlasten,lastenpersoneelnietinloondienst,personeelslasten,lonenensalarissentotaalpersoneel,socialelastentotaalpersoneel,pensioenlastentotaalpersoneel,lastenpersoneelnietinloondienstt,afschrijvingenopmateriãlevasteac,afschrijvingen,huurlasten,onderhoudslastenkleinonderhoud,lastenvoorenergieenwater,schoonmaakkosten,belastingenenheffingen,overigeoverigehuisvestingslasten,huisvestingslasten,administratieenbeheerslasten,inventarisenapparatuur,overigeoverigeoverigelasten,overigelasten,accountantshonorariainzakehetond,accountantshonoraria,bevoegd_gezagnaam,postcode_bevoegd_gezag,eenpitter,aantal_leerlingen,categorie_bestuuromvang,aantal_gewichtleerlingen,gemiddeld_leerlinggewicht,aandeel_apcg_leerlingen,aandeel_lwoo_leerlingen,aantal_voltijdleerlingen,aantal_deeltijdleerlingen,aantal_leerlingen_vbo_groen,aantal_bol_leerlingen,aantal_bol_deeltijdleerlingen,aantal_bbl_leerlingen,aandeel_leerlingen_randstad,omvang_formatie_totaal,omvang_formatie_manager,omvang_formatie_op,omvang_formatie_lio,omvang_formatie_oop_obp,omvang_formatie_onbekend,leerling_leraar_ratio,gewogen_deelnemer_leraar_ratio,omvang_formatie_op_la,omvang_formatie_op_lb,omvang_formatie_op_lc,omvang_formatie_op_ld,omvang_formatie_op_le,omvang_formatie_op_overig,aandeel_formatie_op_la,aandeel_formatie_op_lb,aandeel_formatie_op_lc,aandeel_formatie_op_ld,aandeel_formatie_op_le,aandeel_formatie_op_overig,streefpercentage_formatie_op_la,streefpercentage_formatie_op_lb,streefpercentage_formatie_op_lc,streefpercentage_formatie_op_ld,streefpercentage_formatie_op_le,streefpercentage_formatie_op_ove,omvang_formatie_op_brutsal,loonsom_op_brutsal,gemiddelde_loonsom_op_brutsal,solvabiliteiti,solvabiliteitii,rentabiliteit,liquiditeitcurrentratio,liquiditeitquickratio,weerstandsvermogenexclusiefmater,weerstandsvermogen,personeelslastenrijksbijdragen,personeelslastentotaalbatenplusf,personeelslastentotaallastenplus,voorzieningentotaalbatenplusfina,rijksbijdragentotaalbatenplusfin,overigeoverheidsbijdragenensubsi,huisvestingsratio,kapitalisatiefactor,algemenereservetotaalbatenplusfi,investeringeninventarisenapparat,nettowerkkapitaal,aantalinstellingen,variatieinlb,merge_bestuurs_kenmerk_fin
10867,2012,10867-2012,PO,BO3,Gemeente Terschelling,1875333,316657,255711,20548,2613634,.72000003,.12,.1,.0099999998,124703,124703,,59733,60647,53353,5520,1950,256203,94727,128825,49202,272754,,,Gemeente Terschelling,8881,0,248,1,249.8,1,0,0,0,0,0,0,0,0,,17.9,3.7,12,0,2.0999999,0,20.6,,11.4,.60000002,0,0,0,0,94.800003,5.1999998,0,0,0,0,,,,,,,5.9200001,17471.211,2950.8701,.49,.69,.01,2.15,2.15,.07,.2,.85000002,.79000002,.80000001,.079999998,.92000002,.06,.08,.4,.18,.01,.15,3,4.8083262,matched (3)
10867,2013,10867-2013,PO,BO3,Gemeente Terschelling,1748427,293968,268233,13041,2569260,.68000001,.11,.1,.0099999998,127912,127912,,161078,64428,48191,7048,1096,281841,92626,116966,68391,277983,,,Gemeente Terschelling,8881,0,231,1,234.60001,1,0,0,0,0,0,0,0,0,,18.200001,4.5,11.5,0,2.0999999,0,20,,10.9,.60000002,0,0,0,0,94.599998,5.4000001,0,0,0,0,,,,,,,11.55,36406.738,3152.6399,.47,.6800000000000001,.02,2.19,2.19,.09,.22,.83999997,.76999998,.79000002,.1,.92000002,.05,.09,.47,.17,.03,.18,3,4.3092923,matched (3)
10867,2014,10867-2014,PO,BO3,Gemeente Terschelling,1753533,322462,260758,69847,2475562,.70999998,.13,.11,.029999999,127440,127440,,65150,48861,48336,6021,4445,212813,89516,135008,59491,284015,,,Gemeente Terschelling,8881,0,217,1,219.39999,1,0,0,0,0,0,0,0,0,,18.4,3.5,12.8,0,2.0999999,0,17,,12.1,.60000002,0,0,0,0,95.099998,4.9000001,0,0,0,0,58,40,2,0,0,0,12.76,39837.309,3122.46,.54,.74,.04,2.85,2.85,.15,.27,.81999999,.76999998,.80000001,.1,.93000001,.05,.07,.49,.21,0,.24,3,3.8105118,matched (3)
10867,2015,10867-2015,PO,BO3,Gemeente Terschelling,1866078,329096,235399,71108,2537752,.74000001,.13,.090000004,.029999999,119056,119056,,89855,53005,37039,7988,3474,231361,74346,2696,90021,285049,0,0,Gemeente Terschelling,8881,0,198,1,199.8,1,0,0,0,0,0,0,0,0,,18,3.5,12.4,0,2.0999999,0,16,,11.8,.60000002,0,0,0,0,95,5,0,0,0,0,,,,,,,12.37,39650.512,3204.8799,.6,.8,.05,3.88,3.88,.2,.31,.81,.75999999,.80000001,.11,.94,.03,.07,.51,.27,.02,.29,3,3.9601135,matched (3)
10867,2016,10867-2016,PO,BO3,Gemeente Terschelling,1980136,342968,235927,57879,2665518,.74000001,.13,.090000004,.02,120943,120943,,74072,78502,34517,10814,7820,205725,78154,572,91588,273367,0,0,Gemeente Terschelling,8881,0,184,1,184.89999,1,0,0,0,0,0,0,0,0,,18.5,3.5,12.4,0,2.5999999,0,14.8,,11.8,.60000002,0,0,0,0,95,5,0,0,0,0,,,,,,,12.44,41742.691,3355.9299,.58,.79,0,3.09,3.09,.14,.32,.88,.81999999,.81999999,.12,.93000001,.04,.06,.47,.28,.01,.25,3,3.8534617,matched (3)
10925,2012,10925-2012,PO,BO4,Gemeente Westerwolde,2832120,592960,380902,47405,3809307,.74000001,.16,.1,.0099999998,70694,70694,,52068,44052,81429,4475,28775,210799,218266,216130,37734,472130,9900,9900,Gemeente Westerwolde,9551,0,650,2,782.59998,1.2,0,0,0,0,0,0,0,0,,61.599998,8.1999998,47.099998,0,6.3000002,0,13.8,,37.5,9.6000004,0,0,0,0,79.699997,20.299999,0,0,0,0,,,,,,,46.369999,138763.06,2992.6101,.49,.51,.07,.5,.5,.09,.15,1.03,.77999997,.82999998,.0099999998,.75999999,.21,.05,.3,0,.01,-.07,6,1.6661333,matched (3)
10925,2013,10925-2013,PO,BO4,Gemeente Westerwolde,2816602,579730,410197,74606,3803641,.74000001,.15000001,.11,.02,80841,80841,,27240,76098,82356,6905,33693,226292,229059,248474,34022,511555,,,Gemeente Westerwolde,9551,0,644,2,782.59998,1.2,0,0,0,0,0,0,0,0,,64.199997,7.0999999,50.5,0,6.5999999,0,12.8,,37,13.5,0,0,0,0,73.300003,26.700001,0,0,0,0,,,,,,,50.509998,153012.11,3029.5801,.48,.5,-.02,.52,.52,.07,.14,.99000001,.83999997,.81999999,.0099999998,.85000002,.12,.05,.29,0,0,-.07,6,1.4827901,matched (3)
10925,2014,10925-2014,PO,BO4,Gemeente Westerwolde,2853691,684331,419629,,4052866,.69999999,.17,.1,0,78860,78860,,68695,40029,50856,7136,52382,219098,64016,201890,225941,491847,16253,16253,Gemeente Westerwolde,9551,0,659,2,837.79999,1.3,0,0,0,0,0,0,0,0,,63.799999,7.0999999,49.299999,0,7.5,0,13.4,,36.599998,12.7,0,0,0,0,74.199997,25.799999,0,0,0,0,58,40,2,0,0,0,49.259998,152046.75,3086.3101,.36,.37,.02,.8,.8,.11,.15,1,.81999999,.83999997,.0099999998,.81999999,.03,.05,.41,0,0,-.05,6,1.5099669,matched (3)
10925,2015,10925-2015,PO,BO4,Gemeente Westerwolde,3607154,702398,382847,,4414075,.81999999,.16,.090000004,0,78234,78234,,55401,45801,48563,6154,12838,168757,73601,194423,199460,467484,38097,38097,Gemeente Westerwolde,9551,0,591,2,656.09998,1.1,0,0,0,0,0,0,0,0,,67.5,7.1999998,51.400002,0,8.8999996,0,11.5,,40.700001,10.7,0,0,0,0,79.199997,20.799999,0,0,0,0,,,,,,,51.439999,159161.34,3093.8999,.35,.36,.02,.85,.85,.12,.16,1,.83999997,.86000001,.0099999998,.83999997,.02,.03,.47,.16,.02,-.05,6,1.9984161,matched (3)
10925,2016,10925-2016,PO,BO4,Gemeente Westerwolde,3414274,728378,409713,150209,4677813,.73000002,.16,.090000004,.029999999,105991,105991,,145380,27376,33349,1117,16778,224000,33674,230751,203295,467720,9341,9341,Gemeente Westerwolde,9551,0,660,2,791.09998,1.2,0,0,0,0,0,0,0,0,,75.800003,7.5999999,52.599998,0,15.6,0,12.5,,42.900002,9.6999998,0,0,0,0,81.5,18.5,0,0,0,0,,,,,,,52.59,169050.36,3214.4099,.26,.27,0,.85,.85,.08,.14,1.0599999,.86000001,.85000002,.0099999998,.81,.17,.04,.54,.14,.03,-.06,6,1.8988593,matched (3)
11711,2012,11711-2012,PO,BO5,Gem Noordenveld,7881273,1607978,1090295,94992,10539471,.75,.15000001,.1,.0099999998,326527,326527,23321,216243,225739,282308,26368,7260,781239,177746,546293,263470,987509,,,Gemeente Noordenveld,9301,0,2131,2,2194,1,0,0,0,0,0,0,0,0,,139.60001,12.4,121.2,0,6,0,17.6,,96.800003,24.4,0,0,0,0,79.900002,20.1,0,0,0,0,,,,,,,121.18,380627.09,3141.04,.69,.71,.01,.39,.39,.21,.37,.91000003,.82999998,.82999998,.0099999998,.92000002,.07,.06,.54,.37,.02,-.1,11,3.0332501,matched (3)
11711,2013,11711-2013,PO,BO5,Gem Noordenveld,8014735,1429460,1167091,110140,10729843,.75,.13,.11,.0099999998,350118,350118,23773,175848,235330,254014,11940,8914,709819,169394,553569,195041,918004,,,Gemeente Noordenveld,9301,0,2075,2,2140.1001,1,0,0,0,0,0,0,0,0,,135.3,11.8,116.8,0,6.5999999,0,17.799999,,84.599998,32.299999,0,0,0,0,72.400002,27.6,0,0,0,0,,,,,,,116.85,371202,3176.8,.76,.79,.03,.49,.49,.25,.39,.89999998,.81999999,.83999997,.0099999998,.91000003,.07,.06,.52,.38,.01,-.06,11,3.1575186,matched (3)
11711,2014,11711-2014,PO,BO5,Gem Noordenveld,7539681,1752431,1105490,161184,10562690,.70999998,.17,.1,.02,322774,322774,23811,321300,276748,255859,10590,,888308,158494,540008,263683,962185,15600,15600,Gemeente Noordenveld,9301,0,2001,2,2073,1,0,0,0,0,0,0,0,0,,129.3,9.5,113.3,0,6.4000001,0,17.700001,,78.599998,34.799999,0,0,0,0,69.300003,30.700001,0,0,0,0,58,40,2,0,0,0,113.35,366262.56,3231.27,.6800000000000001,.7,-.04,.42,.42,.23,.38,.94,.87,.82999998,.0099999998,.92000002,.01,.07,.5600000000000001,.37,.01,-.1,11,3.1102347,matched (3)
