BEVOEGD_GEZAGNUMMER,JAAR,Key,BEVOEGD_GEZAGNAAM,POSTCODE_BEVOEGD_GEZAG,EENPITTER,AANTAL_LEERLINGEN,CATEGORIE_BESTUUROMVANG,AANTAL_GEWICHTLEERLINGEN,GEMIDDELD_LEERLINGGEWICHT,AANDEEL_APCG_LEERLINGEN,AANDEEL_LWOO_LEERLINGEN,AANTAL_VOLTIJDLEERLINGEN,AANTAL_DEELTIJDLEERLINGEN,AANTAL_LEERLINGEN_VBO_GROEN,AANTAL_BOL_LEERLINGEN,AANTAL_BOL_DEELTIJDLEERLINGEN,AANTAL_BBL_LEERLINGEN,AANDEEL_LEERLINGEN_RANDSTAD,OMVANG_FORMATIE_TOTAAL,OMVANG_FORMATIE_MANAGER,OMVANG_FORMATIE_OP,OMVANG_FORMATIE_LIO,OMVANG_FORMATIE_OOP_OBP,OMVANG_FORMATIE_ONBEKEND,LEERLING_LERAAR_RATIO,GEWOGEN_DEELNEMER_LERAAR_RATIO,OMVANG_FORMATIE_OP_LA,OMVANG_FORMATIE_OP_LB,OMVANG_FORMATIE_OP_LC,OMVANG_FORMATIE_OP_LD,OMVANG_FORMATIE_OP_LE,OMVANG_FORMATIE_OP_OVERIG,AANDEEL_FORMATIE_OP_LA,AANDEEL_FORMATIE_OP_LB,AANDEEL_FORMATIE_OP_LC,AANDEEL_FORMATIE_OP_LD,AANDEEL_FORMATIE_OP_LE,AANDEEL_FORMATIE_OP_OVERIG,STREEFPERCENTAGE_FORMATIE_OP_LA,STREEFPERCENTAGE_FORMATIE_OP_LB,STREEFPERCENTAGE_FORMATIE_OP_LC,STREEFPERCENTAGE_FORMATIE_OP_LD,STREEFPERCENTAGE_FORMATIE_OP_LE,STREEFPERCENTAGE_FORMATIE_OP_OVERIG,OMVANG_FORMATIE_OP_BRUTSAL,LOONSOM_OP_BRUTSAL,GEMIDDELDE_LOONSOM_OP_BRUTSAL,Solvabiliteit I(%),Solvabiliteit II(%),Rentabiliteit(%),Liquiditeit (current ratio)(%),Liquiditeit (quick ratio)(%),Weerstandsvermogen exclusief materile vaste activa(%),Weerstandsvermogen(%),Personeelslasten / rijksbijdragen(%),Personeelslasten / totaal baten plus financile baten(%),Personeelslasten / totaal lasten plus financile lasten(%),Voorzieningen / totaal baten plus financile baten(%),Rijksbijdragen / totaal baten plus financile baten(%),Overige overheidsbijdragen en -subsidies / totaal baten plus financile baten(%),Huisvestingsratio(%),Kapitalisatiefactor(%),Algemene reserve / totaal baten plus financile baten,Investeringen inventaris en apparatuur / totaal baten plus financile baten(%),Netto werkkapitaal(%),Aantal instellingen,Variatie in LB
61960,2015,61960-2015,Stichting Samenwerkende Vrijescholen Zuid-Holland,3062,0,1464,2,1466.4,1,0,0,0,0,0,0,0,0,,89.4,4.4,76.5,0,8.5,0,19.1,,68.2,8.3,0,0,0,0,89.2,10.8,0,0,0,0,,,,,,,76.5,238362.44,3115.75,0.67,0.71,0.05,2.27,2.27,0.14,0.26,0.88,0.79,0.83,0.01,0.89,0.02,0.08,0.31,0.21,0.01,0.14,6,0.826236447
61960,2016,61960-2016,Stichting Samenwerkende Vrijescholen Zuid-Holland,3062,0,1521,2,1524.3,1,0,0,0,0,0,0,0,0,,98.3,7.9,78.4,0.3,11.7,0,19.4,,61.8,16.6,0,0,0,0,78.8,21.2,0,0,0,0,,,,,,,78.45,255465.73,3256.45,0.68,0.71,0.02,2.30,2.30,0.13,0.26,0.88,0.80,0.81,0.01,0.90,0.02,0.08,0.31,0.21,0.01,0.14,6,1.687206765
61960,2017,61960-2017,Stichting Samenwerkende Vrijescholen Zuid-Holland,3062,0,1646,2,1650.2,1,0,0,0,0,0,0,0,0,,108.7,8.3,90,0,10.5,0,18.3,,65.6,24.4,0,0,0,0,72.9,27.1,0,0,0,0,,,,,,,90,295858.04,3287.41,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,6,1.574060566
62571,2012,62571-2012,Ver. tot Opricht. & Instandh. van een School met de Bijbel,7695,1,105,1,108,1,0,0,0,0,0,0,0,0,,7.5,2,4.6,0,0.9,0,23,,3.6,1,0,0,0,0,78.1,21.9,0,0,0,0,,,,,,,4.57,15273.07,3344.74,0.72,0.86,0.00,5.93,5.93,0.33,0.41,0.90,0.84,0.83,0.08,0.93,0.01,0.03,0.55,0.27,0.01,0.39,1,0
62571,2013,62571-2013,Ver. tot Opricht. & Instandh. van een School met de Bijbel,7695,1,100,1,102.7,1,0,0,0,0,0,0,0,0,,7.3,2,4.6,0,0.7,0,21.9,,3.6,1,0,0,0,0,78.1,21.9,0,0,0,0,,,,,,,4.56,15262.92,3344.78,0.71,0.81,-0.01,4.16,4.16,0.31,0.38,0.88,0.78,0.77,0.05,0.89,0.02,0.06,0.53,0.27,0.02,0.32,1,0
62571,2014,62571-2014,Ver. tot Opricht. & Instandh. van een School met de Bijbel,7695,1,95,1,97.1,1,0,0,0,0,0,0,0,0,,7.8,2,4.6,0,1.2,0,20.8,,3.6,1,0,0,0,0,78.1,21.9,0,0,0,0,58,40,2,0,0,0,4.56,15444.88,3384.66,0.69,0.79,-0.03,4.00,4.00,0.31,0.35,1.03,0.88,0.85,0.06,0.85,0.02,0.03,0.50,0.22,0.00,0.32,1,0
62571,2015,62571-2015,Ver. tot Opricht. & Instandh. van een School met de Bijbel,7695,1,100,1,103.3,1,0,0,0,0,0,0,0,0,,6.7,2,3.8,0,0.9,0,26.4,,2.8,1,0,0,0,0,73.6,26.4,0,0,0,0,,,,,,,3.79,13040.41,3442.38,0.72,0.78,0.00,3.80,3.80,0.30,0.35,0.96,0.84,0.84,0.03,0.88,0.01,0.03,0.48,0.00,0.00,0.29,1,0
62571,2016,62571-2016,Ver. tot Opricht. & Instandh. van een School met de Bijbel,7695,1,93,1,95.1,1,0,0,0,0,0,0,0,0,,6.7,2,3.6,0,1.1,0,25.7,,2.6,1,0,0,0,0,72.3,27.7,0,0,0,0,,,,,,,3.61,12925.16,3577.21,0.76,0.80,0.07,4.24,4.24,0.37,0.39,0.88,0.76,0.82,0.02,0.86,0.02,0.04,0.49,0.27,0.01,0.33,1,0
62571,2017,62571-2017,Ver. tot Opricht. & Instandh. van een School met de Bijbel,7695,1,97,1,99.1,1,0,0,0,0,0,0,0,0,,6.5,2,3.6,0,0.9,0,26.8,,2.6,1,0,0,0,0,72.3,27.7,0,0,0,0,,,,,,,3.61,12925.16,3577.21,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,0
62584,2012,62584-2012,Stichting 'De Vrije School Almere',1312,1,219,1,219.6,1,0,0,0,0,0,0,0,0,,13.7,0.6,11.1,0,2,0,19.8,,11.1,0,0,0,0,0,100,0,0,0,0,0,,,,,,,11.08,36052.86,3254.19,-0.01,0.33,-0.10,1.15,1.15,-0.06,0.00,1.07,0.95,0.86,0.08,0.89,0.03,0.04,0.23,0.00,0.01,0.02,1,0
