,ONDERWIJSSECTOR,JAAR,BEVOEGD_GEZAGNUMMER,BEVOEGD_GEZAGNAAM,POSTCODE_BEVOEGD_GEZAG,EENPITTER,AANTAL_LEERLINGEN,CATEGORIE_BESTUUROMVANG,AANTAL_GEWICHTLEERLINGEN,GEMIDDELD_LEERLINGGEWICHT,AANDEEL_APCG_LEERLINGEN,AANDEEL_LWOO_LEERLINGEN,AANTAL_VOLTIJDLEERLINGEN,AANTAL_DEELTIJDLEERLINGEN,AANTAL_LEERLINGEN_VBO_GROEN,AANTAL_BOL_LEERLINGEN,AANTAL_BOL_DEELTIJDLEERLINGEN,AANTAL_BBL_LEERLINGEN,AANDEEL_LEERLINGEN_RANDSTAD,OMVANG_FORMATIE_TOTAAL,OMVANG_FORMATIE_MANAGER,OMVANG_FORMATIE_OP,OMVANG_FORMATIE_LIO,OMVANG_FORMATIE_OOP_OBP,OMVANG_FORMATIE_ONBEKEND,LEERLING_LERAAR_RATIO,GEWOGEN_DEELNEMER_LERAAR_RATIO,OMVANG_FORMATIE_OP_LA,OMVANG_FORMATIE_OP_LB,OMVANG_FORMATIE_OP_LC,OMVANG_FORMATIE_OP_LD,OMVANG_FORMATIE_OP_LE,OMVANG_FORMATIE_OP_OVERIG,AANDEEL_FORMATIE_OP_LA,AANDEEL_FORMATIE_OP_LB,AANDEEL_FORMATIE_OP_LC,AANDEEL_FORMATIE_OP_LD,AANDEEL_FORMATIE_OP_LE,AANDEEL_FORMATIE_OP_OVERIG,STREEFPERCENTAGE_FORMATIE_OP_LA,STREEFPERCENTAGE_FORMATIE_OP_LB,STREEFPERCENTAGE_FORMATIE_OP_LC,STREEFPERCENTAGE_FORMATIE_OP_LD,STREEFPERCENTAGE_FORMATIE_OP_LE,STREEFPERCENTAGE_FORMATIE_OP_OVERIG,OMVANG_FORMATIE_OP_BRUTSAL,LOONSOM_OP_BRUTSAL,GEMIDDELDE_LOONSOM_OP_BRUTSAL,Bevoegd Gezag,Sector,Groepering,Naam,Jaar,ImmateriÃ«le vaste activa,MateriÃ«le vaste activa,FinanciÃ«le vaste activa,Totaal van vaste activa,Voorraden,Vorderingen,Effecten (kortlopend),Liquide middelen,Totaal van vlottende activa,Totaal van activa,Eigen vermogen,Voorzieningen,Langlopende schulden,Kortlopende schulden,Totaal van passiva
1192,1,2014,39859,Vereniging Nutsschool Wassenaar,2242,1,246,1,246.0,1.0,0.0,0.0,0,0,0,0,0,0,,16.2,1.0,13.7,0.0,1.4,0.0,17.9,,10.3,3.5,0.0,0.0,0.0,0.0,74.6,25.4,0.0,0.0,0.0,0.0,58.0,40.0,2.0,0.0,0.0,0.0,13.75,42505.29,3091.38,39859,PO,BO1,Ver. Nutsschool Wassenaar,2014,,104.932,30.570,135.502,,95.255,,309.400,404.655,540.157,360.456,77.584,,102.117,540.157
1193,1,2015,39859,Vereniging Nutsschool Wassenaar,2242,1,245,1,245.0,1.0,0.0,0.0,0,0,0,0,0,0,,15.0,1.0,13.6,0.0,0.4,0.0,18.1,,10.2,3.3,0.0,0.0,0.0,0.0,75.3,24.7,0.0,0.0,0.0,0.0,,,,,,,13.55,42919.16,3167.44,39859,PO,BO1,Ver. Nutsschool Wassenaar,2015,,101.577,30.570,132.147,,88.854,,369.372,458.226,590.373,452.969,17.992,,119.412,590.373
1194,1,2016,39859,Vereniging Nutsschool Wassenaar,2242,1,243,1,243.0,1.0,0.0,0.0,0,0,0,0,0,0,,16.2,1.0,13.8,0.0,1.4,0.0,17.6,,8.7,5.1,0.0,0.0,0.0,0.0,63.0,37.0,0.0,0.0,0.0,0.0,,,,,,,13.8,45828.57,3321.63,39859,PO,BO1,Ver. Nutsschool Wassenaar,2016,,229.000,30.585,259.585,,70.389,,279.382,349.771,609.356,478.900,20.274,,110.182,609.356
1195,1,2012,39912,Stichting onderwijsgemeenschap 'De Hoeve',3871,1,320,1,320.0,1.0,0.0,0.0,0,0,0,0,0,0,,19.4,1.7,15.3,0.0,2.4,0.0,20.9,,10.0,4.3,1.0,0.0,0.0,0.0,65.1,28.3,6.5,0.0,0.0,0.0,,,,,,,15.3,49711.5,3248.1,39912,PO,BO1,Stg. Onderw.gem.schap De Hoeve,2012,,387.635,,387.635,,89.521,,404.094,493.615,881.250,672.723,86.027,,122.500,881.250
1196,1,2013,39912,Stichting onderwijsgemeenschap 'De Hoeve',3871,1,325,1,325.0,1.0,0.0,0.0,0,0,0,0,0,0,,19.4,1.7,14.7,0.0,3.0,0.0,22.2,,9.5,5.2,0.0,0.0,0.0,0.0,64.9,35.1,0.0,0.0,0.0,0.0,,,,,,,14.67,46631.12,3178.61,39912,PO,BO1,Stg. Onderw.gem.schap De Hoeve,2013,,358.164,,358.164,,89.492,,522.946,612.438,970.602,762.359,79.978,,128.266,970.603
1197,1,2014,39912,Stichting onderwijsgemeenschap 'De Hoeve',3871,1,326,1,326.0,1.0,0.0,0.0,0,0,0,0,0,0,,20.5,1.7,16.0,0.0,2.8,0.0,20.4,,9.3,6.7,0.0,0.0,0.0,0.0,57.9,42.1,0.0,0.0,0.0,0.0,58.0,40.0,2.0,0.0,0.0,0.0,16.02,51103.01,3190.67,39912,PO,BO1,Stg. Onderw.gem.schap De Hoeve,2014,,341.836,,341.836,,107.056,,533.117,640.173,982.009,771.764,82.802,,127.443,982.009
1198,1,2015,39912,Stichting onderwijsgemeenschap 'De Hoeve',3871,1,329,1,329.0,1.0,0.0,0.0,0,0,0,0,0,0,,20.5,1.7,15.7,0.0,3.1,0.0,21.0,,8.9,6.7,0.0,0.0,0.0,0.0,57.0,43.0,0.0,0.0,0.0,0.0,,,,,,,15.66,51284.87,3275.15,39912,PO,BO1,Stg. Onderw.gem.schap De Hoeve,2015,,329.602,,329.602,,100.135,,673.503,773.638,1.103.240,814.573,135.727,,152.940,1.103.240
1199,1,2016,39912,Stichting onderwijsgemeenschap 'De Hoeve',3871,1,330,1,330.3,1.0,0.0,0.0,0,0,0,0,0,0,,20.9,2.0,16.3,0.0,2.6,0.0,20.3,,10.7,5.6,0.0,0.0,0.0,0.0,65.6,34.4,0.0,0.0,0.0,0.0,,,,,,,16.27,54397.93,3343.86,39912,PO,BO1,Stg. Onderw.gem.schap De Hoeve,2016,,323.588,,323.588,,186.213,,628.192,814.405,1.137.993,847.417,167.181,,123.395,1.137.993
1200,1,2012,40020,"Stg. Onderwijsgr. Amstelland, stg. voor RK/PC basisonderwijs",1185,0,3960,3,4018.8,1.0,0.0,0.0,0,0,0,0,0,0,,187.3,15.0,157.4,0.0,14.9,0.0,25.2,,130.7,26.7,0.0,0.0,0.0,0.0,83.0,17.0,0.0,0.0,0.0,0.0,,,,,,,157.4,479118.53,3043.94,40020,PO,BO5,Stg. Onderwijsgr. Amstelland,2012,,2.170.493,,2.170.493,,1.124.371,,4.809.851,5.934.222,8.104.715,4.534.002,626.246,12.006,2.932.461,8.104.715
1201,1,2013,40020,"Stg. Onderwijsgr. Amstelland, stg. voor RK/PC basisonderwijs",1185,0,3997,3,4056.4,1.0,0.0,0.0,0,0,0,0,0,0,,227.0,14.2,196.3,0.0,16.4,0.0,20.4,,160.6,35.7,0.0,0.0,0.0,0.0,81.8,18.2,0.0,0.0,0.0,0.0,,,,,,,196.27,601074.41,3062.53,40020,PO,BO5,Stg. Onderwijsgr. Amstelland,2013,,2.311.784,,2.311.784,,1.047.866,,5.146.961,6.194.827,8.506.611,5.083.851,680.061,8.380,2.734.319,8.506.611
