,ONDERWIJSSECTOR,JAAR,BEVOEGD_GEZAGNUMMER,BEVOEGD_GEZAGNAAM,POSTCODE_BEVOEGD_GEZAG,EENPITTER,AANTAL_LEERLINGEN,CATEGORIE_BESTUUROMVANG,AANTAL_GEWICHTLEERLINGEN,GEMIDDELD_LEERLINGGEWICHT,AANDEEL_APCG_LEERLINGEN,AANDEEL_LWOO_LEERLINGEN,AANTAL_VOLTIJDLEERLINGEN,AANTAL_DEELTIJDLEERLINGEN,AANTAL_LEERLINGEN_VBO_GROEN,AANTAL_BOL_LEERLINGEN,AANTAL_BOL_DEELTIJDLEERLINGEN,AANTAL_BBL_LEERLINGEN,AANDEEL_LEERLINGEN_RANDSTAD,OMVANG_FORMATIE_TOTAAL,OMVANG_FORMATIE_MANAGER,OMVANG_FORMATIE_OP,OMVANG_FORMATIE_LIO,OMVANG_FORMATIE_OOP_OBP,OMVANG_FORMATIE_ONBEKEND,LEERLING_LERAAR_RATIO,GEWOGEN_DEELNEMER_LERAAR_RATIO,OMVANG_FORMATIE_OP_LA,OMVANG_FORMATIE_OP_LB,OMVANG_FORMATIE_OP_LC,OMVANG_FORMATIE_OP_LD,OMVANG_FORMATIE_OP_LE,OMVANG_FORMATIE_OP_OVERIG,AANDEEL_FORMATIE_OP_LA,AANDEEL_FORMATIE_OP_LB,AANDEEL_FORMATIE_OP_LC,AANDEEL_FORMATIE_OP_LD,AANDEEL_FORMATIE_OP_LE,AANDEEL_FORMATIE_OP_OVERIG,STREEFPERCENTAGE_FORMATIE_OP_LA,STREEFPERCENTAGE_FORMATIE_OP_LB,STREEFPERCENTAGE_FORMATIE_OP_LC,STREEFPERCENTAGE_FORMATIE_OP_LD,STREEFPERCENTAGE_FORMATIE_OP_LE,STREEFPERCENTAGE_FORMATIE_OP_OVERIG,OMVANG_FORMATIE_OP_BRUTSAL,LOONSOM_OP_BRUTSAL,GEMIDDELDE_LOONSOM_OP_BRUTSAL,Bevoegd Gezag,Sector,Groepering,Naam,Jaar,ImmateriÃ«le vaste activa,MateriÃ«le vaste activa,FinanciÃ«le vaste activa,Totaal van vaste activa,Voorraden,Vorderingen,Effecten (kortlopend),Liquide middelen,Totaal van vlottende activa,Totaal van activa,Eigen vermogen,Voorzieningen,Langlopende schulden,Kortlopende schulden,Totaal van passiva
0,1,2014,30731,Stichting Islamitisch Primair Onderwijs Rijnmond (SIPOR),3034,0,1313,2,1806.2,1.4,0.0,0.0,0,0,0,0,0,0,,99.9,4.0,64.3,1.0,30.5,0.0,20.4,,52.3,12.0,0.0,0.0,0.0,0.0,81.3,18.7,0.0,0.0,0.0,0.0,58.0,40.0,2.0,0.0,0.0,0.0,64.32,189964.18,2953.41,30731,PO,BO3,SIPOR,2014,,719.217,,719.217,,487.422,,4.036.925,4.524.347,5.243.564,3.004.008,87.800,,2.151.757,5.243.565
1,1,2015,30731,Stichting Islamitisch Primair Onderwijs Rijnmond (SIPOR),3034,0,1502,2,2010.8,1.3,0.0,0.0,0,0,0,0,0,0,,111.0,4.0,74.7,1.9,30.5,0.0,20.1,,59.7,14.9,0.0,0.0,0.0,0.0,80.0,20.0,0.0,0.0,0.0,0.0,,,,,,,74.67,217928.95,2918.69,30731,PO,BO3,SIPOR,2015,,939.890,1.625,941.515,,394.653,,4.403.777,4.798.430,5.739.945,3.709.338,86.733,,1.943.874,5.739.945
2,1,2016,30731,Stichting Islamitisch Primair Onderwijs Rijnmond (SIPOR),3034,0,1684,2,2229.1,1.3,0.0,0.0,0,0,0,0,0,0,,127.6,5.0,81.1,0.0,41.5,0.0,20.8,,63.3,17.8,0.0,0.0,0.0,0.0,78.0,22.0,0.0,0.0,0.0,0.0,,,,,,,81.14,240702.63,2966.36,30731,PO,BO3,SIPOR,2016,,883.858,1.625,885.483,,401.002,,5.798.484,6.199.486,7.084.969,4.691.028,90.658,,2.303.284,7.084.970
3,2,2012,30742,Stichting Samenwerkingsschool,1784,0,272,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,,73.8,4.9,44.8,0.0,24.1,0.0,6.1,,0.0,39.8,5.1,0.0,0.0,0.0,0.0,88.7,11.3,0.0,0.0,0.0,,,,,,,44.81,144935.3,3234.14,30742,PO,SPEC,Stichting Samenwerkingsschool,2012,,4.131.439,,4.131.439,,865.083,,2.541.858,3.406.941,7.538.380,4.728.247,439.616,1.360.000,1.010.517,7.538.380
4,3,2012,30742,Stichting Samenwerkingsschool,1784,1,201,1,0.0,0.0,23.9,0.0,0,0,0,0,0,0,0.0,31.4,2.0,19.0,0.0,10.4,0.0,10.6,,0.0,11.4,6.6,1.0,0.0,0.0,0.0,60.0,34.7,5.3,0.0,0.0,,,,,,,19.0,70116.2,3690.33,30742,PO,SPEC,Stichting Samenwerkingsschool,2012,,4.131.439,,4.131.439,,865.083,,2.541.858,3.406.941,7.538.380,4.728.247,439.616,1.360.000,1.010.517,7.538.380
5,2,2013,30742,Stichting Samenwerkingsschool,1784,0,269,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,,64.0,4.9,37.8,0.0,21.2,0.0,7.1,,0.0,33.1,4.7,0.0,0.0,0.0,0.0,87.5,12.5,0.0,0.0,0.0,,,,,,,37.84,125041.57,3304.59,30742,PO,SPEC,Stichting Samenwerkingsschool,2013,,4.029.998,,4.029.998,,756.485,,3.080.324,3.836.809,7.866.807,5.032.170,485.574,1.303.334,1.045.729,7.866.807
6,3,2013,30742,Stichting Samenwerkingsschool,1784,1,201,1,0.0,0.0,19.9,0.0,0,0,0,0,0,0,0.0,30.5,1.0,19.6,0.0,9.9,0.0,10.3,,0.0,12.0,6.6,1.0,0.0,0.0,0.0,61.2,33.7,5.1,0.0,0.0,,,,,,,19.6,74271.4,3789.36,30742,PO,SPEC,Stichting Samenwerkingsschool,2013,,4.029.998,,4.029.998,,756.485,,3.080.324,3.836.809,7.866.807,5.032.170,485.574,1.303.334,1.045.729,7.866.807
7,2,2014,30742,Stichting Samenwerkingsschool,1784,0,258,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,,65.8,5.9,36.6,0.0,23.3,0.0,7.0,,0.0,31.9,4.7,0.0,0.0,0.0,0.0,87.2,12.8,0.0,0.0,0.0,0.0,86.0,14.0,0.0,0.0,0.0,36.6,125280.4,3422.6,30742,PO,SPEC,Stichting Samenwerkingsschool,2014,,3.834.220,,3.834.220,,565.863,,3.901.819,4.467.682,8.301.902,5.452.902,622.912,1.246.667,979.421,8.301.902
8,3,2014,30742,Stichting Samenwerkingsschool,1784,1,174,1,0.0,0.0,16.1,0.0,0,0,0,0,0,0,0.0,28.0,1.0,17.1,0.0,9.9,0.0,10.2,,0.0,10.8,6.3,0.0,0.0,0.0,0.0,63.2,36.8,0.0,0.0,0.0,0.0,66.7,22.3,11.0,0.0,0.0,17.1,66568.9,3892.92,30742,PO,SPEC,Stichting Samenwerkingsschool,2014,,3.834.220,,3.834.220,,565.863,,3.901.819,4.467.682,8.301.902,5.452.902,622.912,1.246.667,979.421,8.301.902
9,2,2015,30742,Stichting Samenwerkingsschool,1784,0,260,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,,54.4,4.0,31.5,0.0,19.0,0.0,8.3,,0.0,27.5,4.0,0.0,0.0,0.0,0.0,87.3,12.7,0.0,0.0,0.0,,,,,,,31.46,110071.14,3498.9,30742,PO,SPEC,Stichting Samenwerkingsschool,2015,,3.493.291,,3.493.291,,341.345,,4.461.400,4.802.745,8.296.036,5.635.541,413.609,0,2.246.886,8.296.036
10,3,2015,30742,Stichting Samenwerkingsschool,1784,1,167,1,0.0,0.0,14.4,0.0,0,0,0,0,0,0,0.0,26.3,1.0,14.9,0.0,10.4,0.0,11.2,,0.0,9.6,5.3,0.0,0.0,0.0,0.0,64.4,35.6,0.0,0.0,0.0,,,,,,,14.9,59927.2,4021.96,30742,PO,SPEC,Stichting Samenwerkingsschool,2015,,3.493.291,,3.493.291,,341.345,,4.461.400,4.802.745,8.296.036,5.635.541,413.609,0,2.246.886,8.296.036
11,2,2016,30742,Stichting Samenwerkingsschool,1784,0,272,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,,55.7,4.0,31.6,0.0,20.1,0.0,8.6,,0.0,27.7,3.9,0.0,0.0,0.0,0.0,87.6,12.4,0.0,0.0,0.0,,,,,,,31.59,113124.51,3581.39,30742,PO,SPEC,Stichting Samenwerkingsschool,2016,,3.560.970,,3.560.970,,297.061,,2.941.652,3.238.713,6.799.683,5.574.731,490.891,,734.061,6.799.683
12,3,2016,30742,Stichting Samenwerkingsschool,1784,1,162,1,0.0,0.0,16.0,0.0,0,0,0,0,0,0,0.0,27.2,1.0,17.0,0.0,9.2,0.0,9.5,,0.0,10.8,6.2,0.0,0.0,0.0,0.0,63.5,36.5,0.0,0.0,0.0,,,,,,,17.0,73881.97,4346,30742,PO,SPEC,Stichting Samenwerkingsschool,2016,,3.560.970,,3.560.970,,297.061,,2.941.652,3.238.713,6.799.683,5.574.731,490.891,,734.061,6.799.683
13,2,2012,30815,Stichting J.C. Pleysierschool,2566,1,528,2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,,161.2,9.6,100.4,0.0,51.2,0.0,5.3,,0.0,81.5,18.9,0.0,0.0,0.0,0.0,81.2,18.8,0.0,0.0,0.0,,,,,,,100.38,339819.53,3385.32,30815,PO,SPEC,Stichting J.C. Pleysierschool,2012,,1.398.752,,1.398.752,,857.772,,3.152.656,4.010.428,5.409.180,2.798.930,581.947,,2.028.303,5.409.180
14,2,2013,30815,Stichting J.C. Pleysierschool,2566,1,558,2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,,157.7,9.6,99.0,0.0,49.1,0.0,5.6,,0.0,79.9,19.1,0.0,0.0,0.0,0.0,80.7,19.3,0.0,0.0,0.0,,,,,,,99.04,340788.97,3440.98,30815,PO,SPEC,Stichting J.C. Pleysierschool,2013,,1.240.792,,1.240.792,,1.207.291,,3.646.953,4.854.244,6.095.036,3.144.234,732.295,,2.218.507,6.095.036
15,2,2014,30815,Stichting J.C. Pleysierschool,2566,1,597,2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,,136.3,8.2,81.4,0.0,46.6,0.0,7.3,,0.0,68.2,13.2,0.0,0.0,0.0,0.0,83.8,16.2,0.0,0.0,0.0,0.0,86.0,14.0,0.0,0.0,0.0,81.45,282411.47,3467.4,30815,PO,SPEC,Stichting J.C. Pleysierschool,2014,,1.224.776,,1.224.776,,576.649,,4.395.573,4.972.222,6.196.998,2.677.697,892.253,,2.627.048,6.196.998
16,2,2015,30815,Stichting J.C. Pleysierschool,2566,1,599,2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,,133.2,8.0,77.4,0.0,47.7,0.0,7.7,,0.0,64.7,12.7,0.0,0.0,0.0,0.0,83.6,16.4,0.0,0.0,0.0,,,,,,,77.43,273109.42,3527.16,30815,PO,SPEC,Stichting J.C. Pleysierschool,2015,,1.106.545,,1.106.545,,181.322,,4.457.097,4.638.419,5.744.964,2.248.533,1.048.042,,2.448.389,5.744.964
17,2,2016,30815,Stichting J.C. Pleysierschool,2566,1,575,2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,,132.4,6.8,76.8,0.0,48.8,0.0,7.5,,0.0,62.5,14.3,0.0,0.0,0.0,0.0,81.4,18.6,0.0,0.0,0.0,,,,,,,76.85,283262.06,3686,30815,PO,SPEC,Stichting J.C. Pleysierschool,2016,,966.655,,966.655,,93.688,,4.781.431,4.875.119,5.841.774,2.306.197,1.118.207,,2.417.370,5.841.774
18,1,2012,30824,Stg. Algemeen Basisonderwijs Rijnwaarden,6916,1,327,1,333.9,1.0,0.0,0.0,0,0,0,0,0,0,,21.0,1.0,17.1,0.0,3.0,0.0,19.2,,15.2,1.9,0.0,0.0,0.0,0.0,89.1,10.9,0.0,0.0,0.0,0.0,,,,,,,17.06,50169.44,2940.99,30824,PO,BO1,Stg. Algemeen B.o. Rijnwaarden,2012,,158.973,175.703,334.676,,427.177,,180.034,607.211,941.887,612.075,182.999,,146.813,941.887
19,1,2013,30824,Stg. Algemeen Basisonderwijs Rijnwaarden,6916,1,315,1,318.6,1.0,0.0,0.0,0,0,0,0,0,0,,21.6,1.0,18.0,0.0,2.6,0.0,17.5,,16.4,1.6,0.0,0.0,0.0,0.0,91.0,9.0,0.0,0.0,0.0,0.0,,,,,,,18.0,53210.38,2956.21,30824,PO,BO1,Stg. Algemeen B.o. Rijnwaarden,2013,,414.830,193.950,608.780,,113.107,,267.052,380.159,988.939,645.581,175.221,,168.137,988.939
20,1,2014,30824,Stg. Algemeen Basisonderwijs Rijnwaarden,6916,1,317,1,319.4,1.0,0.0,0.0,0,0,0,0,0,0,,20.9,1.2,17.1,0.0,2.6,0.0,18.5,,15.7,1.5,0.0,0.0,0.0,0.0,91.3,8.7,0.0,0.0,0.0,0.0,58.0,40.0,2.0,0.0,0.0,0.0,17.14,50566.84,2949.55,30824,PO,BO1,Stg. Algemeen B.o. Rijnwaarden,2014,,409.916,173.498,583.414,,120.928,,264.543,385.471,968.885,645.537,165.808,,157.540,968.885
21,1,2015,30824,Stg. Algemeen Basisonderwijs Rijnwaarden,6916,1,306,1,307.5,1.0,0.0,0.0,0,0,0,0,0,0,,21.1,1.0,17.5,0.0,2.6,0.0,17.5,,16.1,1.5,0.0,0.0,0.0,0.0,91.5,8.5,0.0,0.0,0.0,0.0,,,,,,,17.53,50845.01,2899.66,30824,PO,BO1,Stg. Algemeen B.o. Rijnwaarden,2015,,387.712,0,387.712,,118.563,,669.716,788.279,1.175.991,802.655,206.216,,167.120,1.175.991
22,1,2016,30824,Stg. Algemeen Basisonderwijs Rijnwaarden,6916,1,300,1,304.2,1.0,0.0,0.0,0,0,0,0,0,0,,21.7,1.0,17.7,0.0,3.0,0.0,17.0,,15.3,2.3,0.0,0.0,0.0,0.0,86.7,13.3,0.0,0.0,0.0,0.0,,,,,,,17.66,54159.27,3066.93,30824,PO,BO1,Stg. Algemeen B.o. Rijnwaarden,2016,,387.285,0,387.285,,131.551,,755.996,887.547,1.274.832,921.170,177.043,,176.619,1.274.832
23,1,2012,30835,Ver. v. Montessori-Onderwijs Westland,2681,1,309,1,317.1,1.0,0.0,0.0,0,0,0,0,0,0,,18.1,0.9,15.7,0.0,1.5,0.0,19.7,,9.9,5.8,0.0,0.0,0.0,0.0,63.0,37.0,0.0,0.0,0.0,0.0,,,,,,,9.42,29761.65,3158.47,30835,PO,BO1,Ver. Montessori-Ond. Westland,2012,,249.482,,249.482,,85.144,,180.193,265.337,514.819,319.026,21.806,9.492,164.495,514.819
24,1,2013,30835,Ver. v. Montessori-Onderwijs Westland,2681,1,315,1,323.1,1.0,0.0,0.0,0,0,0,0,0,0,,18.8,1.0,15.7,0.0,2.1,0.0,20.0,,9.5,6.2,0.0,0.0,0.0,0.0,60.5,39.5,0.0,0.0,0.0,0.0,,,,,,,15.73,51023.45,3243.37,30835,PO,BO1,Ver. Montessori-Ond. Westland,2013,,228.716,,228.716,,80.471,,305.864,386.335,615.051,372.803,52.584,7.534,182.130,615.051
25,1,2014,30835,Ver. v. Montessori-Onderwijs Westland,2681,1,322,1,327.7,1.0,0.0,0.0,0,0,0,0,0,0,,21.0,1.0,17.0,0.0,3.0,0.0,18.9,,10.8,6.2,0.0,0.0,0.0,0.0,63.7,36.3,0.0,0.0,0.0,0.0,58.0,40.0,2.0,0.0,0.0,0.0,17.01,55283.39,3250.84,30835,PO,BO1,Ver. Montessori-Ond. Westland,2014,,257.359,,257.359,,105.391,,269.253,374.644,632.003,377.503,63.530,6.266,184.704,632.003
26,1,2015,30835,Ver. v. Montessori-Onderwijs Westland,2681,1,354,1,360.6,1.0,0.0,0.0,0,0,0,0,0,0,,21.4,1.0,17.8,0.0,2.6,0.0,19.8,,10.9,6.9,0.0,0.0,0.0,0.0,61.1,38.9,0.0,0.0,0.0,0.0,,,,,,,17.84,58325.99,3268.92,30835,PO,BO1,Ver. Montessori-Ond. Westland,2015,,263.502,,263.502,,85.038,,308.359,393.397,656.899,407.414,82.897,4.999,161.589,656.899
27,1,2016,30835,Ver. v. Montessori-Onderwijs Westland,2681,1,371,1,377.0,1.0,0.0,0.0,0,0,0,0,0,0,,24.1,1.8,20.7,0.0,1.7,0.0,17.9,,13.6,7.1,0.0,0.0,0.0,0.0,65.7,34.3,0.0,0.0,0.0,0.0,,,,,,,20.68,69311.55,3351.22,30835,PO,BO1,Ver. Montessori-Ond. Westland,2016,,313.082,,313.082,,120.571,,346.707,467.278,780.360,509.624,98.752,3.732,168.252,780.360
28,2,2012,30837,Ver. voor Chr. Spec. Onderwijs op Goeree-Overflakkee,3241,1,59,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,,10.9,1.4,6.5,0.0,2.9,0.0,9.1,,0.0,6.5,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,,,,,,,6.51,19134.77,2940.64,30837,PO,SBO,Ver. v. Chr. Spec. Onderwijs,2012,,167.908,,167.908,,51.080,,691.913,742.993,910.901,763.616,1.844,,145.442,910.902
29,2,2013,30837,Ver. voor Chr. Spec. Onderwijs op Goeree-Overflakkee,3241,1,60,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,,11.4,2.1,6.2,0.0,3.0,0.0,9.6,,0.0,6.2,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,,,,,,,6.24,18788.7,3012.17,30837,PO,SBO,Ver. v. Chr. Spec. Onderwijs,2013,,178.205,,178.205,,84.646,,634.317,718.963,897.168,732.238,15.210,,149.722,897.170
30,2,2014,30837,Ver. voor Chr. Spec. Onderwijs op Goeree-Overflakkee,3241,1,61,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,,10.1,2.1,5.6,0.0,2.5,0.0,11.0,,0.0,5.6,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,86.0,14.0,0.0,0.0,0.0,5.56,17383.95,3129.2,30837,PO,SBO,Ver. v. Chr. Spec. Onderwijs,2014,,160.364,,160.364,,54.126,,607.762,661.888,822.252,713.535,20.528,,88.190,822.253
31,2,2015,30837,Ver. voor Chr. Spec. Onderwijs op Goeree-Overflakkee,3241,1,66,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,,10.9,2.1,5.9,0.0,2.9,0.0,11.2,,0.0,5.9,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,,,,,,,5.87,18657.79,3176.88,30837,PO,SBO,Ver. v. Chr. Spec. Onderwijs,2015,,149.464,,149.464,,94.102,,660.848,754.950,904.414,676.336,107.578,,120.500,904.414
32,2,2016,30837,Ver. voor Chr. Spec. Onderwijs op Goeree-Overflakkee,3241,1,69,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,,9.8,1.8,5.3,0.0,2.7,0.0,13.0,,0.0,5.3,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,,,,,,,5.32,17697.38,3328.39,30837,PO,SBO,Ver. v. Chr. Spec. Onderwijs,2016,0,135.022,0,135.022,0,38.624,0,704.126,742.750,877.772,666.318,130.106,0,81.348,877.772
33,1,2012,30847,Stg. Montessori-/Tradit. B.O. Doesburg/Ellecom,6982,1,286,1,292.6,1.0,0.0,0.0,0,0,0,0,0,0,,15.6,1.0,14.5,0.0,0.2,0.0,19.8,,11.3,3.2,0.0,0.0,0.0,0.0,78.1,21.9,0.0,0.0,0.0,0.0,,,,,,,14.45,46894.11,3244.93,30847,PO,BO1,Stg. Montessori-/Tradit. B.O.,2012,,213.820,,213.820,,87.058,,427.704,514.762,728.582,535.397,98.791,,94.394,728.582
34,1,2013,30847,Stg. Montessori-/Tradit. B.O. Doesburg/Ellecom,6982,1,276,1,279.9,1.0,0.0,0.0,0,0,0,0,0,0,,16.1,1.0,15.0,0.0,0.2,0.0,18.5,,10.9,4.1,0.0,0.0,0.0,0.0,72.6,27.4,0.0,0.0,0.0,0.0,,,,,,,14.96,48747.7,3259.06,30847,PO,BO1,Stg. Montessori-/Tradit. B.O.,2013,,212.444,,212.444,,91.801,,504.353,596.154,808.598,599.476,70.064,,139.058,808.598
35,1,2014,30847,Stg. Montessori-/Tradit. B.O. Doesburg/Ellecom,6982,1,295,1,299.8,1.0,0.0,0.0,0,0,0,0,0,0,,17.5,1.0,16.4,0.0,0.2,0.0,18.0,,10.0,6.4,0.0,0.0,0.0,0.0,61.0,39.0,0.0,0.0,0.0,0.0,58.0,40.0,2.0,0.0,0.0,0.0,16.37,54382.12,3321.61,30847,PO,BO1,Stg. Montessori-/Tradit. B.O.,2014,,189.718,,189.718,,110.892,,430.391,541.283,731.001,529.669,87.790,,113.542,731.001
36,1,2015,30847,Stg. Montessori-/Tradit. B.O. Doesburg/Ellecom,6982,1,303,1,306.6,1.0,0.0,0.0,0,0,0,0,0,0,,17.7,1.0,16.5,0.0,0.2,0.0,18.4,,10.1,6.4,0.0,0.0,0.0,0.0,61.3,38.7,0.0,0.0,0.0,0.0,,,,,,,16.48,55952.7,3394.22,30847,PO,BO1,Stg. Montessori-/Tradit. B.O.,2015,,187.340,,187.340,,110.314,,567.146,677.460,864.800,577.844,150.676,,136.280,864.800
37,1,2016,30847,Stg. Montessori-/Tradit. B.O. Doesburg/Ellecom,6982,1,299,1,302.3,1.0,0.0,0.0,0,0,0,0,0,0,,19.4,1.0,17.6,0.0,0.9,0.0,17.0,,10.7,6.9,0.0,0.0,0.0,0.0,60.9,39.1,0.0,0.0,0.0,0.0,,,,,,,17.56,61817.02,3521.29,30847,PO,BO1,Stg. Montessori-/Tradit. B.O.,2016,,269.730,,269.730,,109.503,,508.245,617.748,887.478,616.272,110.910,,160.296,887.478
38,1,2012,30849,Stg. v. Chr. Bas.onderw. op Ref. Grondslag voor Katwijk eo,2224,1,190,1,199.6,1.1,0.0,0.0,0,0,0,0,0,0,,11.4,2.0,7.6,0.0,1.8,0.0,24.9,,7.6,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,,,,,,,7.62,20608.35,2702.91,30849,PO,BO1,St. Chr Bas.ond. Ref. Grondsl.,2012,,300.911,5.050,305.961,,48.080,,491.307,539.387,845.348,726.366,41.593,,77.389,845.348
39,1,2013,30849,Stg. v. Chr. Bas.onderw. op Ref. Grondslag voor Katwijk eo,2224,1,193,1,199.3,1.0,0.0,0.0,0,0,0,0,0,0,,11.3,2.0,6.4,0.0,2.8,0.0,30.0,,6.4,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,,,,,,,6.44,17851.0,2770.9,30849,PO,BO1,St. Chr Bas.ond. Ref. Grondsl.,2013,,298.339,3.250,301.589,,35.935,,538.288,574.223,875.812,779.378,32.920,,63.514,875.812
40,1,2014,30849,Stg. v. Chr. Bas.onderw. op Ref. Grondslag voor Katwijk eo,2224,1,192,1,198.6,1.0,0.0,0.0,0,0,0,0,0,0,,11.5,2.0,7.6,0.0,1.8,0.0,25.3,,7.6,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,58.0,40.0,2.0,0.0,0.0,0.0,7.59,21692.68,2857.46,30849,PO,BO1,St. Chr Bas.ond. Ref. Grondsl.,2014,,267.396,1.235,268.631,,59.526,,564.278,623.804,892.435,784.614,45.006,,62.815,892.435
41,1,2015,30849,Stg. v. Chr. Bas.onderw. op Ref. Grondslag voor Katwijk eo,2224,1,188,1,195.8,1.0,0.0,0.0,0,0,0,0,0,0,,11.3,2.0,7.4,0.0,1.8,0.0,25.2,,7.4,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,,,,,,,7.45,21516.58,2889.61,30849,PO,BO1,St. Chr Bas.ond. Ref. Grondsl.,2015,,251.474,0,251.474,,49.542,0,610.905,660.447,911.921,813.909,20.415,,77.597,911.921
42,1,2016,30849,Stg. v. Chr. Bas.onderw. op Ref. Grondslag voor Katwijk eo,2224,1,182,1,188.0,1.0,0.0,0.0,0,0,0,0,0,0,,11.6,2.0,7.7,0.0,1.8,0.0,23.6,,7.5,0.2,0.0,0.0,0.0,0.0,97.4,2.6,0.0,0.0,0.0,0.0,,,,,,,7.71,23829.24,3091.17,30849,PO,BO1,St. Chr Bas.ond. Ref. Grondsl.,2016,,238.537,0,238.537,,43.388,0,562.703,606.091,844.628,724.345,36.606,,83.677,844.628
43,2,2012,30852,Stg. v. Chr. (V) Spec. Ond. op Ref. Grondslag voor Gouda e.o,2804,0,177,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,,31.4,2.8,17.3,0.0,11.4,0.0,10.3,,0.0,16.3,1.0,0.0,0.0,0.0,0.0,94.2,5.8,0.0,0.0,0.0,,,,,,,16.31,51809.44,3175.96,30852,PO,SPEC,Stg. C(V)SO Ref. Gr.sl. Gouda,2012,,307.160,,307.160,,153.529,,455.864,609.393,916.553,409.804,138.267,,368.482,916.553
44,2,2013,30852,Stg. v. Chr. (V) Spec. Ond. op Ref. Grondslag voor Gouda e.o,2804,0,185,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,,36.7,2.8,19.9,0.0,14.0,0.0,9.3,,0.0,17.7,2.2,0.0,0.0,0.0,0.0,88.8,11.2,0.0,0.0,0.0,,,,,,,19.94,63231.94,3171.27,30852,PO,SPEC,Stg. C(V)SO Ref. Gr.sl. Gouda,2013,,353.246,,353.246,,117.136,,441.959,559.095,912.341,461.321,173.717,,277.303,912.341
45,2,2014,30852,Stg. v. Chr. (V) Spec. Ond. op Ref. Grondslag voor Gouda e.o,2804,0,197,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,,39.3,2.9,21.4,0.0,15.0,0.0,9.2,,0.0,19.1,2.3,0.0,0.0,0.0,0.0,89.3,10.7,0.0,0.0,0.0,0.0,86.0,14.0,0.0,0.0,0.0,21.4,68739.8,3211.64,30852,PO,SPEC,Stg. C(V)SO Ref. Gr.sl. Gouda,2014,,419.813,,419.813,,178.267,,288.002,466.269,886.082,473.066,154.717,,258.299,886.082
46,2,2015,30852,Stg. v. Chr. (V) Spec. Ond. op Ref. Grondslag voor Gouda e.o,2804,0,194,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,,39.3,2.8,20.3,0.0,16.2,0.0,9.6,,0.0,17.5,2.8,0.0,0.0,0.0,0.0,86.4,13.6,0.0,0.0,0.0,,,,,,,20.29,65326.07,3219.03,30852,PO,SPEC,Stg. C(V)SO Ref. Gr.sl. Gouda,2015,,477.340,0,477.340,,162.389,0,164.322,326.711,804.051,319.306,200.211,,284.534,804.051
47,2,2016,30852,Stg. v. Chr. (V) Spec. Ond. op Ref. Grondslag voor Gouda e.o,2804,0,218,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,,43.6,2.2,22.6,0.0,18.8,0.0,9.7,,0.0,19.9,2.7,0.0,0.0,0.0,0.0,87.9,12.1,0.0,0.0,0.0,,,,,,,22.59,76006.02,3364.77,30852,PO,SPEC,Stg. C(V)SO Ref. Gr.sl. Gouda,2016,,447.302,0,447.302,,175.334,0,203.133,378.467,825.769,336.967,230.893,,257.909,825.769
48,1,2012,30853,Stichting Montessori Basisonderwijs Duiven e.o.,6922,1,386,1,394.7,1.0,0.0,0.0,0,0,0,0,0,0,,18.7,1.1,17.2,0.0,0.4,0.0,22.4,,14.5,2.7,0.0,0.0,0.0,0.0,84.4,15.6,0.0,0.0,0.0,0.0,,,,,,,17.23,50948.0,2957.59,30853,PO,BO1,Stg. Montessori Basisond.,2012,,213.807,,213.807,,123.638,,755.634,879.272,1.093.079,947.398,14.188,,131.493,1.093.079
